Step,Time (s),Total Comput. Time (s),Err,ODE (gas-phase) Comput. Time (s),Err,MC (particle) Comput. Time (s),Err
110,0.00011,1.46,0,1.40899999999999,0,0.035,0
111,0.000111,1.466,0,1.41499999999999,0,0.035,0
112,0.000112,1.473,0,1.42099999999999,0,0.035,0
113,0.000113,1.48,0,1.42799999999999,0,0.035,0
114,0.000114,1.487,0,1.43499999999999,0,0.035,0
115,0.000115,1.495,0,1.44299999999999,0,0.035,0
116,0.000116,1.502,0,1.44999999999999,0,0.035,0
117,0.000117,1.509,0,1.45699999999999,0,0.035,0
118,0.000118,1.516,0,1.46399999999999,0,0.035,0
119,0.000119,1.524,0,1.47099999999999,0,0.035,0
120,0.00012,1.532,0,1.47899999999999,0,0.035,0
121,0.000121,1.54,0,1.48699999999999,0,0.035,0
122,0.000122,1.547,0,1.49399999999999,0,0.035,0
123,0.000123,1.555,0,1.50199999999999,0,0.035,0
124,0.000124,1.563,0,1.50999999999999,0,0.035,0
125,0.000125,1.57,0,1.51699999999999,0,0.035,0
126,0.000126,1.577,0,1.52399999999999,0,0.035,0
127,0.000127,1.584,0,1.53099999999999,0,0.035,0
128,0.000128,1.591,0,1.53799999999999,0,0.035,0
129,0.000129,1.598,0,1.54499999999999,0,0.035,0
130,0.00013,1.605,0,1.55099999999999,0,0.036,0
131,0.000131,1.613,0,1.55899999999999,0,0.036,0
132,0.000132,1.62,0,1.56599999999999,0,0.036,0
133,0.000133,1.628,0,1.57399999999999,0,0.036,0
134,0.000134,1.635,0,1.58099999999999,0,0.036,0
135,0.000135,1.641,0,1.58699999999999,0,0.036,0
136,0.000136,1.648,0,1.59399999999999,0,0.036,0
137,0.000137,1.654,0,1.59999999999999,0,0.036,0
138,0.000138,1.66,0,1.60599999999999,0,0.036,0
139,0.000139,1.666,0,1.61099999999999,0,0.037,0
140,0.00014,1.671,0,1.61599999999999,0,0.037,0
141,0.000141,1.678,0,1.62299999999999,0,0.037,0
142,0.000142,1.684,0,1.62899999999999,0,0.037,0
143,0.000143,1.69,0,1.63499999999999,0,0.037,0
144,0.000144,1.696,0,1.64099999999999,0,0.037,0
145,0.000145,1.702,0,1.64699999999999,0,0.037,0
146,0.000146,1.708,0,1.65299999999999,0,0.037,0
147,0.000147,1.715,0,1.65999999999999,0,0.037,0
148,0.000148,1.721,0,1.66599999999999,0,0.037,0
149,0.000149,1.727,0,1.67199999999999,0,0.037,0
150,0.00015,1.733,0,1.67799999999999,0,0.037,0
151,0.000151,1.739,0,1.68399999999999,0,0.037,0
152,0.000152,1.745,0,1.68899999999999,0,0.038,0
153,0.000153,1.751,0,1.69499999999999,0,0.038,0
154,0.000154,1.758,0,1.70199999999999,0,0.038,0
155,0.000155,1.764,0,1.70799999999999,0,0.038,0
156,0.000156,1.77,0,1.71399999999999,0,0.038,0
157,0.000157,1.776,0,1.71899999999999,0,0.038,0
158,0.000158,1.781,0,1.72399999999999,0,0.038,0
159,0.000159,1.787,0,1.72999999999999,0,0.038,0
160,0.00016,1.794,0,1.73599999999999,0,0.039,0
161,0.000161,1.801,0,1.74299999999999,0,0.039,0
162,0.000162,1.808,0,1.74999999999999,0,0.039,0
163,0.000163,1.815,0,1.75699999999999,0,0.039,0
164,0.000164,1.823,0,1.76399999999999,0,0.039,0
165,0.000165,1.831,0,1.77099999999999,0,0.039,0
166,0.000166,1.839,0,1.77899999999999,0,0.039,0
167,0.000167,1.846,0,1.78499999999999,0,0.04,0
168,0.000168,1.853,0,1.79099999999999,0,0.041,0
169,0.000169,1.86,0,1.79799999999999,0,0.041,0
170,0.00017,1.867,0,1.80499999999999,0,0.041,0
171,0.000171,1.874,0,1.81199999999999,0,0.041,0
172,0.000172,1.882,0,1.81999999999999,0,0.041,0
173,0.000173,1.89,0,1.82799999999999,0,0.041,0
174,0.000174,1.89699999999999,0,1.83499999999999,0,0.041,0
175,0.000175,1.90499999999999,0,1.84299999999999,0,0.041,0
176,0.000176,1.91299999999999,0,1.85099999999999,0,0.041,0
177,0.000177,1.91999999999999,0,1.85699999999999,0,0.042,0
178,0.000178,1.92699999999999,0,1.86399999999999,0,0.042,0
179,0.000179,1.93499999999999,0,1.87199999999999,0,0.042,0
180,0.00018,1.94199999999999,0,1.87899999999999,0,0.042,0
181,0.000181,1.94999999999999,0,1.88599999999999,0,0.043,0
182,0.000182,1.95699999999999,0,1.89299999999999,0,0.043,0
183,0.000183,1.96399999999999,0,1.89899999999999,0,0.044,0
184,0.000184,1.97199999999999,0,1.90599999999999,0,0.045,0
185,0.000185,1.97999999999999,0,1.91399999999999,0,0.045,0
186,0.000186,1.98599999999999,0,1.91999999999999,0,0.045,0
187,0.000187,1.99299999999999,0,1.92699999999999,0,0.045,0
188,0.000188,1.99999999999999,0,1.93399999999999,0,0.045,0
189,0.000189,2.00699999999999,0,1.94099999999999,0,0.045,0
190,0.00019,2.01599999999999,0,1.94999999999999,0,0.045,0
191,0.000191,2.02299999999999,0,1.95699999999999,0,0.045,0
192,0.000192,2.03299999999999,0,1.96699999999999,0,0.045,0
193,0.000193,2.04099999999999,0,1.97499999999999,0,0.045,0
194,0.000194,2.04899999999999,0,1.98299999999999,0,0.045,0
195,0.000195,2.05699999999999,0,1.99099999999998,0,0.045,0
196,0.000196,2.06399999999999,0,1.99799999999998,0,0.045,0
197,0.000197,2.07099999999999,0,2.00499999999998,0,0.045,0
198,0.000198,2.07799999999999,0,2.01199999999998,0,0.045,0
199,0.000199,2.08499999999999,0,2.01899999999998,0,0.045,0
200,0.0002,2.09399999999999,0,2.02799999999998,0,0.045,0
201,0.000201,2.10099999999999,0,2.03499999999998,0,0.045,0
202,0.000202,2.10799999999999,0,2.04199999999998,0,0.045,0
