Step,Time (s),Total Comput. Time (s),Err,ODE (gas-phase) Comput. Time (s),Err,MC (particle) Comput. Time (s),Err
438,0.000438000000000004,3.83,0,3.71399999999995,0,0.0760000000000001,0
439,0.000439000000000004,3.838,0,3.72199999999995,0,0.0760000000000001,0
440,0.000440000000000004,3.845,0,3.72799999999995,0,0.0770000000000001,0
441,0.000441000000000004,3.852,0,3.73499999999995,0,0.0770000000000001,0
442,0.000442000000000004,3.858,0,3.74099999999995,0,0.0770000000000001,0
443,0.000443000000000004,3.866,0,3.74899999999995,0,0.0770000000000001,0
444,0.000444000000000004,3.873,0,3.75599999999995,0,0.0770000000000001,0
445,0.000445000000000004,3.88,0,3.76299999999995,0,0.0770000000000001,0
446,0.000446000000000004,3.887,0,3.76999999999995,0,0.0770000000000001,0
447,0.000447000000000004,3.895,0,3.77699999999995,0,0.0770000000000001,0
448,0.000448000000000004,3.901,0,3.78299999999995,0,0.0770000000000001,0
449,0.000449000000000004,3.908,0,3.78999999999995,0,0.0770000000000001,0
450,0.000450000000000004,3.915,0,3.79599999999995,0,0.0780000000000001,0
451,0.000451000000000004,3.921,0,3.80199999999995,0,0.0780000000000001,0
452,0.000452000000000004,3.928,0,3.80899999999995,0,0.0780000000000001,0
453,0.000453000000000005,3.935,0,3.81599999999995,0,0.0780000000000001,0
454,0.000454000000000005,3.941,0,3.82199999999995,0,0.0780000000000001,0
455,0.000455000000000005,3.949,0,3.82999999999995,0,0.0780000000000001,0
456,0.000456000000000005,3.957,0,3.83799999999995,0,0.0780000000000001,0
457,0.000457000000000005,3.965,0,3.84499999999995,0,0.0780000000000001,0
458,0.000458000000000005,3.972,0,3.85199999999995,0,0.0780000000000001,0
459,0.000459000000000005,3.978,0,3.85699999999995,0,0.0790000000000001,0
460,0.000460000000000005,3.986,0,3.86399999999995,0,0.0790000000000001,0
461,0.000461000000000005,3.993,0,3.86999999999995,0,0.0800000000000001,0
462,0.000462000000000005,3.999,0,3.87499999999995,0,0.0810000000000001,0
463,0.000463000000000005,4.007,0,3.88299999999995,0,0.0810000000000001,0
464,0.000464000000000005,4.013,0,3.88799999999995,0,0.0820000000000001,0
465,0.000465000000000005,4.02,0,3.89499999999995,0,0.0820000000000001,0
466,0.000466000000000005,4.027,0,3.90099999999995,0,0.0820000000000001,0
467,0.000467000000000005,4.035,0,3.90799999999995,0,0.0830000000000001,0
468,0.000468000000000005,4.042,0,3.91499999999995,0,0.0830000000000001,0
469,0.000469000000000005,4.048,0,3.92099999999995,0,0.0830000000000001,0
470,0.000470000000000005,4.056,0,3.92799999999995,0,0.0830000000000001,0
471,0.000471000000000005,4.063,0,3.93499999999995,0,0.0830000000000001,0
472,0.000472000000000005,4.07,0,3.94199999999995,0,0.0830000000000001,0
473,0.000473000000000005,4.078,0,3.94899999999995,0,0.0830000000000001,0
474,0.000474000000000005,4.086,0,3.95699999999995,0,0.0830000000000001,0
475,0.000475000000000005,4.093,0,3.96299999999995,0,0.0840000000000001,0
476,0.000476000000000005,4.101,0,3.96999999999995,0,0.0850000000000001,0
477,0.000477000000000005,4.108,0,3.97699999999995,0,0.0850000000000001,0
478,0.000478000000000005,4.115,0,3.98399999999995,0,0.0850000000000001,0
479,0.000479000000000005,4.122,0,3.99099999999995,0,0.0850000000000001,0
480,0.000480000000000005,4.131,0,3.99999999999995,0,0.0850000000000001,0
481,0.000481000000000005,4.139,0,4.00799999999994,0,0.0850000000000001,0
482,0.000482000000000005,4.144,0,4.01299999999994,0,0.0850000000000001,0
483,0.000483000000000005,4.151,0,4.01899999999995,0,0.0850000000000001,0
484,0.000484000000000005,4.157,0,4.02499999999995,0,0.0850000000000001,0
485,0.000485000000000005,4.163,0,4.02999999999995,0,0.0860000000000001,0
486,0.000486000000000005,4.17,0,4.03699999999995,0,0.0860000000000001,0
487,0.000487000000000005,4.177,0,4.04299999999995,0,0.0870000000000001,0
488,0.000488000000000005,4.183,0,4.04899999999995,0,0.0870000000000001,0
489,0.000489000000000005,4.19,0,4.05599999999995,0,0.0870000000000001,0
490,0.000490000000000005,4.197,0,4.06299999999995,0,0.0870000000000001,0
491,0.000491000000000005,4.204,0,4.06999999999995,0,0.0870000000000001,0
492,0.000492000000000005,4.21,0,4.07499999999995,0,0.0880000000000001,0
493,0.000493000000000005,4.217,0,4.08199999999995,0,0.0880000000000001,0
494,0.000494000000000006,4.223,0,4.08699999999995,0,0.0890000000000001,0
495,0.000495000000000006,4.23,0,4.09399999999995,0,0.0890000000000001,0
496,0.000496000000000006,4.23699999999999,0,4.10099999999995,0,0.0890000000000001,0
497,0.000497000000000006,4.24399999999999,0,4.10799999999995,0,0.0890000000000001,0
498,0.000498000000000006,4.24999999999999,0,4.11399999999995,0,0.0890000000000001,0
499,0.000499000000000006,4.25699999999999,0,4.12099999999995,0,0.0890000000000001,0
500,0.000500000000000006,4.26299999999999,0,4.12599999999995,0,0.0900000000000001,0
