Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,aluminum,Err,Avg. aluminum,Err
0,0,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
1,1e-06,1,0,9994824936682.72,0,9.97099750220604e-06,0,9.97099750220604e-06,0,9.97099750220604e-06,0,3121.77989478712,0,3.12339627213444e-10,0,0.00518788017345666,0,5.19056632439479e-16,0,12.3315911723065,0,1.23379761530864e-12,0,1.52146877813528e-11,0,1.87718455022986e-23,0,0,0,0,0,2.750466316146e+20,0,27518904368713,0
2,2e-06,1,0,9994824936682.72,0,9.97099750220604e-06,0,9.97099750220604e-06,0,9.97099750220604e-06,0,3121.77989478712,0,3.12339627213444e-10,0,0.00518788017345666,0,5.19056632439479e-16,0,12.3315911723065,0,1.23379761530864e-12,0,1.52146877813528e-11,0,1.87718455022986e-23,0,0,0,0,0,2.750466316146e+20,0,27518904368713,0
3,3e-06,1,0,9989837767345.31,0,9.94181861540737e-06,0,9.94181861540737e-06,0,9.94181861540737e-06,0,3101.98703861948,0,3.10514255672822e-10,0,0.00513990229986685,0,5.14513090159294e-16,0,12.2175477667835,0,1.22299761530864e-12,0,1.49420317836956e-11,0,1.82740692393257e-23,0,0,0,0,0,2.72502981398771e+20,0,27278018697113,0
4,4e-06,1,0,9985041125177.76,0,9.91246743777986e-06,0,9.91246743777986e-06,0,9.91246743777986e-06,0,3082.21747206568,0,3.08683502994666e-10,0,0.00509206690816121,0,5.09969547879108e-16,0,12.1038430406992,0,1.21219761530864e-12,0,1.46722496700056e-11,0,1.77856660611938e-23,0,0,0,0,0,2.69966885166649e+20,0,27037133025513,0
5,5e-06,1,0,9980437684637.71,0,9.88294140328523e-06,0,9.88294140328523e-06,0,9.88294140328523e-06,0,3062.47040783231,0,3.06847305158388e-10,0,0.0050443727530754,0,5.05426005598923e-16,0,11.9904740340602,0,1.20139761530864e-12,0,1.44053269109401e-11,0,1.73065253985449e-23,0,0,0,0,0,2.67438276897867e+20,0,26796247353913,0
6,6e-06,1,0,9980437684637.71,0,9.88294140328523e-06,0,9.88294140328523e-06,0,9.88294140328523e-06,0,3062.47040783231,0,3.06847305158388e-10,0,0.0050443727530754,0,5.05426005598923e-16,0,11.9904740340602,0,1.20139761530864e-12,0,1.44053269109401e-11,0,1.73065253985449e-23,0,0,0,0,0,2.67438276897867e+20,0,26796247353913,0
7,7e-06,1,0,9976030160903.99,0,9.85323788418503e-06,0,9.85323788418503e-06,0,9.85323788418503e-06,0,3042.74503290602,0,3.05005596798467e-10,0,0.00499681856113562,0,5.00882463318738e-16,0,11.8774377198194,0,1.19059761530864e-12,0,1.41412490251938e-11,0,1.68365373668814e-23,0,0,0,0,0,2.64917089076469e+20,0,26555361682313,0
8,8e-06,1,0,9959194754318.81,0,9.73259412967032e-06,0,9.73259412967032e-06,0,9.73259412967032e-06,0,2963.68009520455,0,2.97582301412405e-10,0,0.00480738591144288,0,4.82708294197998e-16,0,11.4271563114997,0,1.14739761530864e-12,0,1.31114919015739e-11,0,1.50440945410044e-23,0,0,0,0,0,2.54873909497573e+20,0,25591818995913,0
9,9e-06,1,0,9955798407748.14,0,9.70196146279279e-06,0,9.70196146279279e-06,0,9.70196146279279e-06,0,2944.04915766058,0,2.9571200993477e-10,0,0.00476051187578465,0,4.78164751917813e-16,0,11.3157367287401,0,1.13659761530864e-12,0,1.28614393813464e-11,0,1.4618281330275e-23,0,0,0,0,0,2.52388781625125e+20,0,25350933324313,0
