Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
24,2.4e-05,0,0,2.49413732401547e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32932773652188e-05,0,3.29619174987183e-06,0,2330.5153390611,0,5.15308423552453e-05,0,998513.365865365,0
25,2.5e-05,0,0,2.452399170222e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2723501060706e-05,0,3.60098128302795e-06,0,2361.33070793772,0,5.08484740459539e-05,0,998319.178651694,0
26,2.6e-05,0,0,2.41119010025417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21583389245822e-05,0,3.90712415591905e-06,0,2392.44125361222,0,5.0177364083043e-05,0,998122.396827723,0
27,2.7e-05,0,0,2.38408667923486e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17848066758033e-05,0,4.11212023309063e-06,0,2413.3708341472,0,4.97377937012425e-05,0,998033.804828319,0
28,2.8e-05,0,0,2.3706624262046e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1599163344983e-05,0,4.21492183412602e-06,0,2423.89610039819,0,4.9520709441155e-05,0,998011.47074272,0
29,2.9e-05,0,0,2.35729722946447e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14140141239426e-05,0,4.31791634140434e-06,0,2434.45072369911,0,4.93049027599916e-05,0,997989.035824612,0
30,3e-05,0,0,2.33066287391907e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10444037532558e-05,0,4.52444997186988e-06,0,2455.61783261473,0,4.88754824643164e-05,0,997898.82472672,0
31,3.1e-05,0,0,2.30426043125269e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06766855042949e-05,0,4.73183761646409e-06,0,2476.89913355643,0,4.84511274332858e-05,0,997807.774958558,0
32,3.2e-05,0,0,2.2649638969023e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01273687653071e-05,0,5.04454040743184e-06,0,2508.98744224649,0,4.78215481417619e-05,0,997600.812760558,0
33,3.3e-05,0,0,2.22617343045996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95819894065752e-05,0,5.35948979604871e-06,0,2541.31869071442,0,4.72032135072235e-05,0,997390.830697229,0
34,3.4e-05,0,0,2.20067541490634e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92213109905455e-05,0,5.57088631703584e-06,0,2563.02810149965,0,4.67989514566447e-05,0,997296.203328951,0
35,3.5e-05,0,0,2.16270887395293e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86820679242379e-05,0,5.89004163058282e-06,0,2595.74063554974,0,4.61991982943499e-05,0,997080.930327603,0
36,3.6e-05,0,0,2.15024867240443e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85039241115749e-05,0,5.99712522493878e-06,0,2606.71747116368,0,4.60035360605579e-05,0,997056.692327208,0
37,3.7e-05,0,0,2.13784199304231e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83261547513905e-05,0,6.10453035806542e-06,0,2617.71739200947,0,4.5809105039879e-05,0,997032.329185816,0
38,3.8e-05,0,0,2.12548834803439e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81487509880726e-05,0,6.21226498454274e-06,0,2628.74013097877,0,4.56158994529592e-05,0,997007.839136413,0
39,3.9e-05,0,0,2.10084775314147e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77941450589959e-05,0,6.4286649448376e-06,0,2650.83074350889,0,4.52312875352482e-05,0,996909.246661558,0
40,4e-05,0,0,2.0886499402962e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76177815335222e-05,0,6.53743573887968e-06,0,2661.92107479171,0,4.50417166753638e-05,0,996884.363908127,0
41,4.1e-05,0,0,2.07650304829423e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7441746432725e-05,0,6.64656810043454e-06,0,2673.0333258553,0,4.48533450161018e-05,0,996859.346835698,0
42,4.2e-05,1.72316073350595e-06,0,2.05549089613833e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52403436446524e-05,0,7.18280916644991e-06,0,2680.54523573315,0,4.47012225059916e-05,0,996270.374713646,0
43,4.3e-05,2.74845174037853e-06,0,2.06036519464829e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41783284900343e-05,0,7.35374343214011e-06,0,2669.35648598308,0,4.48841756090359e-05,0,996172.399138194,0
44,4.4e-05,2.7513170654155e-06,0,2.04749753556441e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39929012234788e-05,0,7.46151413349955e-06,0,2681.44164629638,0,4.4680707778038e-05,0,996146.169822969,0
45,4.5e-05,4.36585074065073e-06,0,2.04936831918716e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22365602029487e-05,0,7.78254449654439e-06,0,2668.83967823869,0,4.48786386320155e-05,0,995856.667095201,0
46,4.6e-05,5.10553713077824e-06,0,2.03563255491619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12273699825697e-05,0,8.04683687162806e-06,0,2676.94091609612,0,4.47360695341379e-05,0,995706.370332535,0
47,4.7e-05,6.68208221482585e-08,0,1.49020982137357e-05,0,1.21965203546996e-06,0,2.07148170879566e-06,0,2.48544379283351e-09,0,2.35720441743235e-11,0,0,0,1.04652116565878e-08,0,1.01956758068739e-05,0,1.00995905898989e-05,0,3104.22189772294,0,3.8568293404416e-05,0,995446.343390005,0
48,4.8e-05,9.81533940282347e-08,0,1.4208410856129e-05,0,1.1648135464267e-06,0,2.45765756334867e-06,0,1.36047365156854e-09,0,5.51300197911414e-12,0,0,0,6.36430441844808e-09,0,9.45390041112232e-06,0,1.05864547092267e-05,0,3152.26145156863,0,3.79771207713537e-05,0,995357.153261591,0
49,4.9e-05,1.38219051411293e-07,0,1.37225629691986e-05,0,1.2402401532839e-06,0,2.72633978673431e-06,0,1.00437899059138e-09,0,2.57830406697139e-12,0,0,0,5.57779827006797e-09,0,8.85673506125783e-06,0,1.09245793279732e-05,0,3182.32060498073,0,3.76152611054239e-05,0,995274.063653373,0
50,5e-05,1.37870638892636e-07,0,1.34867457662324e-05,0,1.04720092577628e-06,0,2.90310974414778e-06,0,6.80128985306228e-10,0,1.0750787787434e-12,0,0,0,3.40132439484445e-09,0,8.7160910816408e-06,0,1.11112713198629e-05,0,3200.0958520226,0,3.74063720050117e-05,0,995275.35584647,0
51,5.1e-05,1.66965026469208e-07,0,1.32448321625101e-05,0,1.11052165588289e-06,0,3.04008363392518e-06,0,6.04829813760345e-10,0,7.93224821355195e-13,0,0,0,3.39343610906279e-09,0,8.39611328635398e-06,0,1.12828883180099e-05,0,3213.84159759032,0,3.7245403142299e-05,0,995249.165636227,0
52,5.19999999999999e-05,2.08263717171181e-07,0,1.29969430920792e-05,0,1.21782912526139e-06,0,3.17402865159366e-06,0,5.58860180120951e-10,0,6.34532362724173e-13,0,0,0,3.63939828224589e-09,0,8.03078257503271e-06,0,1.14610741998787e-05,0,3226.95817992113,0,3.70931202540116e-05,0,995225.235627478,0
53,5.29999999999999e-05,1.94117539001335e-07,0,1.28790086086442e-05,0,1.03331521275132e-06,0,3.28527700428186e-06,0,4.17964843414619e-10,0,3.3638647177554e-13,0,0,0,2.3991834140974e-09,0,8.0282987676216e-06,0,1.15579487105145e-05,0,3236.69178209022,0,3.69807833274589e-05,0,995204.030969828,0
54,5.39999999999999e-05,1.8245741424983e-07,0,1.27973289007625e-05,0,9.10750816109875e-07,0,3.3626968731687e-06,0,3.37828589283747e-10,0,2.1189685938614e-13,0,0,0,1.75507342403719e-09,0,8.02661555436314e-06,0,1.16231928154946e-05,0,3243.30274205792,0,3.69051354880588e-05,0,995196.7943294,0
55,5.49999999999999e-05,1.72643292699799e-07,0,1.27357793402044e-05,0,8.2132794076517e-07,0,3.4212326454675e-06,0,2.85538186365326e-10,0,1.47334878840871e-13,0,0,0,1.36483393264366e-09,0,8.02537101291778e-06,0,1.16713405155419e-05,0,3248.21626808877,0,3.68493452670504e-05,0,995197.755818376,0
56,5.59999999999999e-05,1.64237997623926e-07,0,1.26871229479912e-05,0,7.5249577469799e-07,0,3.46741448752288e-06,0,2.4865171230271e-10,0,1.09396830243773e-13,0,0,0,1.10627978937412e-09,0,8.02434490862934e-06,0,1.17086802762871e-05,0,3252.04533829815,0,3.68056514336509e-05,0,995189.477954813,0
57,5.69999999999999e-05,1.56903844052234e-07,0,1.26470987675537e-05,0,6.970879486173e-07,0,3.50549348638639e-06,0,2.20950216113657e-10,0,8.49060136501263e-14,0,0,0,9.22601456559251e-10,0,8.02351716673433e-06,0,1.17389936152477e-05,0,3255.17030124575,0,3.67702384651703e-05,0,995187.32495318,0
58,5.79999999999999e-05,1.50430580404217e-07,0,1.26134067822457e-05,0,6.51316512488815e-07,0,3.53754087417957e-06,0,1.99366044434258e-10,0,6.81425822991309e-14,0,0,0,7.863995996762e-10,0,8.02281209143949e-06,0,1.17641937854962e-05,0,3257.77895286698,0,3.67406864600407e-05,0,995184.388629702,0
59,5.89999999999999e-05,1.44648900113597e-07,0,1.25844474888964e-05,0,6.12610852768019e-07,0,3.56510214296018e-06,0,1.81998407667794e-10,0,5.6095518175185e-14,0,0,0,6.81636459550404e-10,0,8.02220604521307e-06,0,1.17856318938367e-05,0,3260.00688607313,0,3.67155110147507e-05,0,995182.589963098,0
60,5.99999999999999e-05,1.39449170933019e-07,0,1.2559211657593e-05,0,5.79361038434727e-07,0,3.5891700176731e-06,0,1.67703305486718e-10,0,4.71254911633595e-14,0,0,0,5.98922334111525e-10,0,8.02168818977307e-06,0,1.18041612498628e-05,0,3261.94047630965,0,3.66938079970348e-05,0,995184.242894113,0
61,6.09999999999999e-05,1.34719223934721e-07,0,1.25368837665878e-05,0,5.50322216136518e-07,0,3.61044674894476e-06,0,1.55688144515613e-10,0,4.02366194795956e-14,0,0,0,5.32007420443852e-10,0,8.02122269078698e-06,0,1.18204126718776e-05,0,3263.64121638116,0,3.667469505407e-05,0,995184.482693549,0
62,6.19999999999999e-05,1.30401024001659e-07,0,1.25169869821575e-05,0,5.24741415813901e-07,0,3.62939339444569e-06,0,1.45459170612386e-10,0,3.48331042233247e-14,0,0,0,4.77036297827078e-10,0,8.0208034035283e-06,0,1.18347864473998e-05,0,3265.14901279017,0,3.66577351976484e-05,0,995183.830132649,0
63,6.29999999999999e-05,1.26430133841133e-07,0,1.24990682568667e-05,0,5.01944769288882e-07,0,3.64645510457757e-06,0,1.36617468257143e-10,0,3.04995461001887e-14,0,0,0,4.3108883137491e-10,0,8.02042415318135e-06,0,1.18476454855506e-05,0,3266.50136029229,0,3.66425356401055e-05,0,995183.203398043,0
64,6.39999999999999e-05,1.22761663472557e-07,0,1.24828160203516e-05,0,4.81465750860323e-07,0,3.66193390867269e-06,0,1.28890904555447e-10,0,2.69654643004867e-14,0,0,0,3.9219021238248e-10,0,8.02008019066942e-06,0,1.18592404037222e-05,0,3267.72376984782,0,3.66288190458312e-05,0,995182.955165774,0
65,6.49999999999999e-05,1.1935998430589e-07,0,1.24679921867965e-05,0,4.62950843008143e-07,0,3.67605215958163e-06,0,1.22079362519604e-10,0,2.40433592323486e-14,0,0,0,3.58912060711993e-10,0,8.01976558375243e-06,0,1.18697583078277e-05,0,3268.83509237786,0,3.66163600807389e-05,0,995182.789953439,0
66,6.59999999999999e-05,1.16198045592389e-07,0,1.24544154008122e-05,0,4.46130888474814e-07,0,3.68898518746704e-06,0,1.16032635141869e-10,0,2.15997814252231e-14,0,0,0,3.30201592901048e-10,0,8.01947743310897e-06,0,1.1879344033311e-05,0,3269.85006580974,0,3.66049972445943e-05,0,995182.871951917,0
67,6.69999999999999e-05,1.13239052530755e-07,0,1.24418822695255e-05,0,4.30720456050823e-07,0,3.70091644405162e-06,0,1.10610268918657e-10,0,1.95277287334758e-14,0,0,0,3.05143885322003e-10,0,8.01920900844449e-06,0,1.18881494724654e-05,0,3270.78394702806,0,3.65945324767505e-05,0,995182.512141067,0
68,6.79999999999999e-05,1.10465472113498e-07,0,1.24302772350224e-05,0,4.16551124793418e-07,0,3.71196532357932e-06,0,1.0572204397615e-10,0,1.77555507839727e-14,0,0,0,2.83134849629044e-10,0,8.01896029598317e-06,0,1.18962682306521e-05,0,3271.64658657618,0,3.65848765567931e-05,0,995182.322017281,0
69,6.89999999999999e-05,1.07856053945454e-07,0,1.24194814003475e-05,0,4.03456143625404e-07,0,3.72224252008087e-06,0,1.01286879584123e-10,0,1.62255612000633e-14,0,0,0,2.63657360016755e-10,0,8.01872820878363e-06,0,1.19037901852312e-05,0,3272.44712737654,0,3.65759194724792e-05,0,995182.123314099,0
70,6.99999999999999e-05,1.05396462985924e-07,0,1.24094092247699e-05,0,3.91314204560081e-07,0,3.73183327610697e-06,0,9.72442892915128e-11,0,1.4895112050318e-14,0,0,0,2.46325184033557e-10,0,8.0185119107418e-06,0,1.19107823063493e-05,0,3273.19256951402,0,3.65675909698825e-05,0,995182.160220184,0
71,7.09999999999999e-05,1.03074371483974e-07,0,1.23999914284423e-05,0,3.80026454689603e-07,0,3.74079887546126e-06,0,9.35462483743028e-11,0,1.37312419188028e-14,0,0,0,2.30831522655817e-10,0,8.01830890836025e-06,0,1.19172967339922e-05,0,3273.8880431227,0,3.65598211639318e-05,0,995182.112991104,0
