Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
78,0.00780000000000001,6.46532581009505e-12,0,1.5244298213638e-05,0,1.68760786926146e-09,0,4.62328071332059e-07,0,8.21377561195957e-11,0,1.90446217871068e-13,0,0,0,3.44002734123373e-13,0,0,0,1.78190466154318e-06,0,2748.4927624018,0,1.74903076919133e-05,0,399693.165812201,0
79,0.00790000000000001,6.53497207702499e-12,0,1.52344701560455e-05,0,1.69573520044725e-09,0,4.63896507270631e-07,0,8.2016064110734e-11,0,1.89180420958007e-13,0,0,0,3.45362150064165e-13,0,0,0,1.78493776029239e-06,0,2749.31303629873,0,1.74850892443878e-05,0,399693.163293228,0
80,0.00800000000000001,6.58716180278209e-12,0,1.52246477536036e-05,0,1.69922450006879e-09,0,4.65463456817315e-07,0,8.16687122623817e-11,0,1.86893770699725e-13,0,0,0,3.44836756977658e-13,0,0,0,1.78797366908969e-06,0,2750.13347132982,0,1.74798728916153e-05,0,399693.160910134,0
81,0.00810000000000001,6.68890966070432e-12,0,1.52148161672105e-05,0,1.71531798951412e-09,0,4.67035935562827e-07,0,8.19248283234646e-11,0,1.87383927056365e-13,0,0,0,3.49435375180576e-13,0,0,0,1.79100823840807e-06,0,2750.95309942085,0,1.74746648097283e-05,0,399693.159295801,0
82,0.00820000000000001,6.76552363419491e-12,0,1.5204928225468e-05,0,1.7246895769145e-09,0,4.6862339130054e-07,0,8.18520176396708e-11,0,1.86352626010429e-13,0,0,0,3.51251242759594e-13,0,0,0,1.79406384234549e-06,0,2751.77753255824,0,1.74694293038361e-05,0,399693.157177674,0
83,0.00830000000000001,6.84209362909755e-12,0,1.51950815950848e-05,0,1.73392328171442e-09,0,4.70207891037191e-07,0,8.17722629047618e-11,0,1.85303981334873e-13,0,0,0,3.53018579140314e-13,0,0,0,1.79710803259105e-06,0,2752.59823328544,0,1.74642205946738e-05,0,399693.154597657,0
84,0.0084,6.94092153819999e-12,0,1.51852358065014e-05,0,1.74860648049079e-09,0,4.71793858316978e-07,0,8.1945529764098e-11,0,1.85406779890019e-13,0,0,0,3.57001845357855e-13,0,0,0,1.80015153351983e-06,0,2753.41826692214,0,1.74590192336786e-05,0,399693.152319071,0
85,0.0085,7.0278029096248e-12,0,1.51753988200947e-05,0,1.76006906047343e-09,0,4.73384146378036e-07,0,8.19636116578416e-11,0,1.84810864067473e-13,0,0,0,3.59668612938453e-13,0,0,0,1.80319446141807e-06,0,2754.2373446394,0,1.74538270328454e-05,0,399693.150158836,0
86,0.0086,7.08937452144679e-12,0,1.5165539379289e-05,0,1.76500318100211e-09,0,4.74982928785705e-07,0,8.16743672218504e-11,0,1.82827523449044e-13,0,0,0,3.59634894940928e-13,0,0,0,1.80624818026288e-06,0,2755.05849369607,0,1.74486247977227e-05,0,399693.147926753,0
87,0.0087,7.20193910599946e-12,0,1.51557747423076e-05,0,1.78255437522677e-09,0,4.76567692912777e-07,0,8.19710856604096e-11,0,1.83491559998687e-13,0,0,0,3.64781693594153e-13,0,0,0,1.80926890336637e-06,0,2755.87048115465,0,1.744348361426e-05,0,399693.144840105,0
