Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195298783139.795,16375.4438961731,16375.4438961731,16375.4438961731,8.42434289464326e-06,2.29920742742043e-09,8.96690896693967e-09,4e-06,2,0,199999989692345
195298783139.795,16375.4440330713,16375.4440330713,16375.4440330713,8.42434303549775e-06,2.29920748508434e-09,8.96690919182891e-09,4e-06,2,0,199999994708326
195298783139.795,16375.4441032812,16375.4441032812,16375.4441032812,8.4243431077367e-06,2.29920751465797e-09,8.9669093071661e-09,4e-06,2,0,199999997280833
195298783139.795,16375.4441393557,16375.4441393557,16375.4441393557,8.4243431448537e-06,2.29920752985317e-09,8.96690936642737e-09,4e-06,2,0,199999998602610
195298783139.795,16375.4441579125,16375.4441579125,16375.4441579125,8.42434316394683e-06,2.29920753766964e-09,8.96690939691159e-09,4e-06,2,0,199999999282537
195298783139.795,16375.4441674518,16375.4441674518,16375.4441674518,8.42434317376184e-06,2.29920754168777e-09,8.9669094125823e-09,4e-06,2,0,199999999632060
195298783139.795,16375.4441723269,16375.4441723269,16375.4441723269,8.42434317877775e-06,2.29920754374121e-09,8.96690942059073e-09,4e-06,2,0,199999999810682
195298783139.795,16375.4441748358,16375.4441748358,16375.4441748358,8.42434318135919e-06,2.29920754479802e-09,8.96690942471228e-09,4e-06,2,0,199999999902610
195298783139.795,16375.4441761311,16375.4441761311,16375.4441761311,8.4243431826919e-06,2.29920754534361e-09,8.96690942684009e-09,4e-06,2,0,199999999950069
195298783139.795,16375.4441767931,16375.4441767931,16375.4441767931,8.42434318337309e-06,2.29920754562248e-09,8.96690942792768e-09,4e-06,2,0,199999999974327
195298783139.795,16375.4441771296,16375.4441771296,16375.4441771296,8.42434318371924e-06,2.29920754576419e-09,8.96690942848036e-09,4e-06,2,0,199999999986654
195298783139.795,16375.4441773081,16375.4441773081,16375.4441773081,8.4243431839029e-06,2.29920754583938e-09,8.96690942877358e-09,4e-06,2,0,199999999993194
195298783139.795,16375.4441773988,16375.4441773988,16375.4441773988,8.42434318399629e-06,2.29920754587761e-09,8.9669094289227e-09,4e-06,2,0,199999999996520
195298783139.795,16375.4441774461,16375.4441774461,16375.4441774461,8.4243431840449e-06,2.29920754589751e-09,8.9669094290003e-09,4e-06,2,0,199999999998251
195298783139.795,16375.4441774679,16375.4441774679,16375.4441774679,8.42434318406737e-06,2.29920754590671e-09,8.96690942903617e-09,4e-06,2,0,199999999999051
195298783139.795,16375.444177481,16375.444177481,16375.444177481,8.42434318408085e-06,2.29920754591223e-09,8.96690942905769e-09,4e-06,2,0,199999999999531
195298783139.795,16375.4441774882,16375.4441774882,16375.4441774882,8.4243431840882e-06,2.29920754591524e-09,8.96690942906944e-09,4e-06,2,0,199999999999793
195298783139.795,16375.4441774904,16375.4441774904,16375.4441774904,8.42434318409048e-06,2.29920754591617e-09,8.96690942907307e-09,4e-06,2,0,199999999999874
195298783139.795,16375.4441774923,16375.4441774923,16375.4441774923,8.42434318409247e-06,2.29920754591699e-09,8.96690942907625e-09,4e-06,2,0,199999999999945
195298783139.795,16375.4441774932,16375.4441774932,16375.4441774932,8.42434318409334e-06,2.29920754591734e-09,8.96690942907764e-09,4e-06,2,0,199999999999976
195298783139.795,16375.4441774933,16375.4441774933,16375.4441774933,8.42434318409348e-06,2.2992075459174e-09,8.96690942907787e-09,4e-06,2,0,199999999999981
195298783139.795,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409393e-06,2.29920754591759e-09,8.96690942907858e-09,4e-06,2,0,199999999999997
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409396e-06,2.2992075459176e-09,8.96690942907863e-09,4e-06,2,0,199999999999998
195298783139.795,16375.4441774937,16375.4441774937,16375.4441774937,8.42434318409393e-06,2.29920754591759e-09,8.96690942907858e-09,4e-06,2,0,199999999999997
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409399e-06,2.29920754591761e-09,8.96690942907868e-09,4e-06,2,0,199999999999999
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409399e-06,2.29920754591761e-09,8.96690942907868e-09,4e-06,2,0,199999999999999
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409399e-06,2.29920754591761e-09,8.96690942907868e-09,4e-06,2,0,199999999999999
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409399e-06,2.29920754591761e-09,8.96690942907868e-09,4e-06,2,0,199999999999999
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
195298783139.795,16375.4441774938,16375.4441774938,16375.4441774938,8.42434318409401e-06,2.29920754591762e-09,8.96690942907872e-09,4e-06,2,0,200000000000000
