Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
25,2.5e-05,0,0,1.08813215960381e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02043080876638e-05,0,1.35402701674857e-06,0,2140.38141795657,0,2.24396567004505e-05,0,399339.302911254,0
26,2.6e-05,0,0,1.07960321135417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0064634669793e-05,0,1.46279488749738e-06,0,2151.32075754712,0,2.2323461670832e-05,0,399301.906459892,0
27,2.7e-05,0,0,1.07960321135417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0064634669793e-05,0,1.46279488749738e-06,0,2151.32075754712,0,2.2323461670832e-05,0,399301.906459892,0
28,2.8e-05,0,0,1.07960321135417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0064634669793e-05,0,1.46279488749738e-06,0,2151.32075754712,0,2.2323461670832e-05,0,399301.906459892,0
29,2.9e-05,0,0,1.07960321135417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0064634669793e-05,0,1.46279488749738e-06,0,2151.32075754712,0,2.2323461670832e-05,0,399301.906459892,0
30,3e-05,0,0,1.07110275580405e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92485957878666e-06,0,1.5723359585077e-06,0,2162.27925574867,0,2.22082230953349e-05,0,399264.105821368,0
31,3.1e-05,0,0,1.06262963629318e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78496073456477e-06,0,1.68267125673399e-06,0,2173.25700667201,0,2.20939283542305e-05,0,399225.896620891,0
32,3.2e-05,0,0,1.05418268805071e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64491583855529e-06,0,1.79382208390358e-06,0,2184.25412909254,0,2.19805648029659e-05,0,399187.274484356,0
33,3.3e-05,0,0,1.0457607380249e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50470236993471e-06,0,1.90581002062866e-06,0,2195.27076735499,0,2.18681197708124e-05,0,399148.2350386,0
34,3.4e-05,0,0,1.03736260470834e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36429758181007e-06,0,2.01865693054674e-06,0,2206.30709230334,0,2.17565805594402e-05,0,399108.773911612,0
35,3.5e-05,0,0,1.02898709795841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22367849734112e-06,0,2.13238496448595e-06,0,2217.36330223784,0,2.16459344414111e-05,0,399068.886732698,0
36,3.6e-05,0,0,1.02898709795841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22367849734112e-06,0,2.13238496448595e-06,0,2217.36330223784,0,2.16459344414111e-05,0,399068.886732698,0
37,3.7e-05,0,0,1.02898709795841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22367849734112e-06,0,2.13238496448595e-06,0,2217.36330223784,0,2.16459344414111e-05,0,399068.886732698,0
38,3.8e-05,0,0,1.02898709795841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22367849734112e-06,0,2.13238496448595e-06,0,2217.36330223784,0,2.16459344414111e-05,0,399068.886732698,0
