Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
191653362232.372,16375.4441781533,16375.4441781533,16375.4441781533,8.42434318477257e-06,2.29920754619541e-09,8.9669094301621e-09,2e-05,2,0,200000000024164
191653362232.372,16375.4441781551,16375.4441781551,16375.4441781551,8.42434318477437e-06,2.29920754619615e-09,8.96690943016497e-09,2e-05,2,0,200000000024228
191653362232.372,16375.444178149,16375.444178149,16375.444178149,8.42434318476819e-06,2.29920754619362e-09,8.96690943015511e-09,2e-05,2,0,200000000024008
191653362232.372,16375.4441781578,16375.4441781578,16375.4441781578,8.42434318477717e-06,2.2992075461973e-09,8.96690943016945e-09,2e-05,2,0,200000000024328
191653362232.372,16375.4441781498,16375.4441781498,16375.4441781498,8.42434318476897e-06,2.29920754619394e-09,8.96690943015636e-09,2e-05,2,0,200000000024036
191653362232.372,16375.4441781466,16375.4441781466,16375.4441781466,8.42434318476572e-06,2.29920754619261e-09,8.96690943015116e-09,2e-05,2,0,200000000023920
191653362232.372,16375.4441781749,16375.4441781749,16375.4441781749,8.42434318479481e-06,2.29920754620452e-09,8.96690943019761e-09,2e-05,2,0,200000000024956
191653362232.372,16375.4441781405,16375.4441781405,16375.4441781405,8.42434318475943e-06,2.29920754619003e-09,8.96690943014112e-09,2e-05,2,0,200000000023696
191653362232.372,16375.4441781484,16375.4441781484,16375.4441781484,8.42434318476752e-06,2.29920754619334e-09,8.96690943015403e-09,2e-05,2,0,200000000023984
191653362232.372,16375.4441781518,16375.4441781518,16375.4441781518,8.424343184771e-06,2.29920754619477e-09,8.96690943015959e-09,2e-05,2,0,200000000024108
191653362232.372,16375.4441781532,16375.4441781532,16375.4441781532,8.42434318477246e-06,2.29920754619537e-09,8.96690943016192e-09,2e-05,2,0,200000000024160
191653362232.372,16375.4441781495,16375.4441781495,16375.4441781495,8.42434318476864e-06,2.2992075461938e-09,8.96690943015582e-09,2e-05,2,0,200000000024024
191653362232.372,16375.44417815,16375.44417815,16375.44417815,8.4243431847692e-06,2.29920754619403e-09,8.96690943015672e-09,2e-05,2,0,200000000024044
191653362232.372,16375.444178143,16375.444178143,16375.444178143,8.42434318476201e-06,2.29920754619109e-09,8.96690943014525e-09,2e-05,2,0,200000000023788
191653362232.372,16375.4441781584,16375.4441781584,16375.4441781584,8.42434318477785e-06,2.29920754619757e-09,8.96690943017053e-09,2e-05,2,0,200000000024352
191653362232.372,16375.4441781596,16375.4441781596,16375.4441781596,8.42434318477908e-06,2.29920754619808e-09,8.9669094301725e-09,2e-05,2,0,200000000024396
191653362232.372,16375.4441781624,16375.4441781624,16375.4441781624,8.42434318478189e-06,2.29920754619923e-09,8.96690943017699e-09,2e-05,2,0,200000000024496
191653362232.372,16375.4441781561,16375.4441781561,16375.4441781561,8.42434318477549e-06,2.29920754619661e-09,8.96690943016677e-09,2e-05,2,0,200000000024268
191653362232.372,16375.4441781401,16375.4441781401,16375.4441781401,8.42434318475898e-06,2.29920754618985e-09,8.9669094301404e-09,2e-05,2,0,200000000023680
191653362232.372,16375.4441781578,16375.4441781578,16375.4441781578,8.42434318477717e-06,2.2992075461973e-09,8.96690943016945e-09,2e-05,2,0,200000000024328
191653362232.372,16375.4441781428,16375.4441781428,16375.4441781428,8.42434318476178e-06,2.299207546191e-09,8.96690943014488e-09,2e-05,2,0,200000000023780
191653362232.372,16375.4441781489,16375.4441781489,16375.4441781489,8.42434318476808e-06,2.29920754619357e-09,8.96690943015493e-09,2e-05,2,0,200000000024004
191653362232.372,16375.4441781673,16375.4441781673,16375.4441781673,8.42434318478695e-06,2.2992075462013e-09,8.96690943018506e-09,2e-05,2,0,200000000024676
191653362232.372,16375.4441781548,16375.4441781548,16375.4441781548,8.42434318477414e-06,2.29920754619605e-09,8.96690943016461e-09,2e-05,2,0,200000000024220
191653362232.372,16375.4441781378,16375.4441781378,16375.4441781378,8.42434318475662e-06,2.29920754618888e-09,8.96690943013664e-09,2e-05,2,0,200000000023596
191653362232.372,16375.4441781469,16375.4441781469,16375.4441781469,8.42434318476594e-06,2.2992075461927e-09,8.96690943015152e-09,2e-05,2,0,200000000023928
191653362232.372,16375.4441781531,16375.4441781531,16375.4441781531,8.42434318477235e-06,2.29920754619532e-09,8.96690943016174e-09,2e-05,2,0,200000000024156
191653362232.372,16375.444178144,16375.444178144,16375.444178144,8.42434318476302e-06,2.2992075461915e-09,8.96690943014686e-09,2e-05,2,0,200000000023824
191653362232.372,16375.4441781555,16375.4441781555,16375.4441781555,8.42434318477482e-06,2.29920754619633e-09,8.96690943016569e-09,2e-05,2,0,200000000024244
191653362232.372,16375.4441781518,16375.4441781518,16375.4441781518,8.424343184771e-06,2.29920754619477e-09,8.96690943015959e-09,2e-05,2,0,200000000024108
191653362232.372,16375.4441781611,16375.4441781611,16375.4441781611,8.42434318478054e-06,2.29920754619868e-09,8.96690943017484e-09,2e-05,2,0,200000000024448
191653362232.372,16375.4441781401,16375.4441781401,16375.4441781401,8.42434318475898e-06,2.29920754618985e-09,8.9669094301404e-09,2e-05,2,0,200000000023680
191653362232.372,16375.4441781305,16375.4441781305,16375.4441781305,8.42434318474909e-06,2.2992075461858e-09,8.96690943012462e-09,2e-05,2,0,200000000023328
191653362232.372,16375.4441781549,16375.4441781549,16375.4441781549,8.42434318477425e-06,2.2992075461961e-09,8.96690943016479e-09,2e-05,2,0,200000000024224
191653362232.372,16375.4441781608,16375.4441781608,16375.4441781608,8.42434318478032e-06,2.29920754619858e-09,8.96690943017448e-09,2e-05,2,0,200000000024440
191653362232.372,16375.44417814,16375.44417814,16375.44417814,8.42434318475886e-06,2.2992075461898e-09,8.96690943014022e-09,2e-05,2,0,200000000023676
191653362232.372,16375.4441781582,16375.4441781582,16375.4441781582,8.42434318477762e-06,2.29920754619748e-09,8.96690943017017e-09,2e-05,2,0,200000000024344
191653362232.372,16375.4441781368,16375.4441781368,16375.4441781368,8.42434318475561e-06,2.29920754618847e-09,8.96690943013502e-09,2e-05,2,0,200000000023560
191653362232.372,16375.4441781594,16375.4441781594,16375.4441781594,8.42434318477886e-06,2.29920754619799e-09,8.96690943017215e-09,2e-05,2,0,200000000024388
191653362232.372,16375.444178162,16375.444178162,16375.444178162,8.42434318478155e-06,2.29920754619909e-09,8.96690943017645e-09,2e-05,2,0,200000000024484
191653362232.372,16375.4441781416,16375.4441781416,16375.4441781416,8.42434318476055e-06,2.29920754619049e-09,8.96690943014291e-09,2e-05,2,0,200000000023736
191653362232.372,16375.4441781483,16375.4441781483,16375.4441781483,8.4243431847674e-06,2.2992075461933e-09,8.96690943015385e-09,2e-05,2,0,200000000023980
191653362232.372,16375.4441781544,16375.4441781544,16375.4441781544,8.42434318477369e-06,2.29920754619587e-09,8.9669094301639e-09,2e-05,2,0,200000000024204
191653362232.372,16375.4441781596,16375.4441781596,16375.4441781596,8.42434318477908e-06,2.29920754619808e-09,8.9669094301725e-09,2e-05,2,0,200000000024396
191653362232.372,16375.4441781506,16375.4441781506,16375.4441781506,8.42434318476976e-06,2.29920754619426e-09,8.96690943015762e-09,2e-05,2,0,200000000024064
191653362232.372,16375.4441781608,16375.4441781608,16375.4441781608,8.42434318478032e-06,2.29920754619858e-09,8.96690943017448e-09,2e-05,2,0,200000000024440
191653362232.372,16375.4441781502,16375.4441781502,16375.4441781502,8.42434318476943e-06,2.29920754619412e-09,8.96690943015708e-09,2e-05,2,0,200000000024052
191653362232.372,16375.4441781425,16375.4441781425,16375.4441781425,8.42434318476145e-06,2.29920754619086e-09,8.96690943014435e-09,2e-05,2,0,200000000023768
191653362232.372,16375.4441781576,16375.4441781576,16375.4441781576,8.42434318477695e-06,2.2992075461972e-09,8.9669094301691e-09,2e-05,2,0,200000000024320
191653362232.372,16375.4441781513,16375.4441781513,16375.4441781513,8.42434318477055e-06,2.29920754619458e-09,8.96690943015887e-09,2e-05,2,0,200000000024092
191653362232.372,16375.4441781425,16375.4441781425,16375.4441781425,8.42434318476145e-06,2.29920754619086e-09,8.96690943014435e-09,2e-05,2,0,200000000023768
191653362232.372,16375.4441781558,16375.4441781558,16375.4441781558,8.42434318477515e-06,2.29920754619647e-09,8.96690943016623e-09,2e-05,2,0,200000000024256
191653362232.372,16375.4441781489,16375.4441781489,16375.4441781489,8.42434318476808e-06,2.29920754619357e-09,8.96690943015493e-09,2e-05,2,0,200000000024004
191653362232.372,16375.4441781465,16375.4441781465,16375.4441781465,8.42434318476561e-06,2.29920754619256e-09,8.96690943015098e-09,2e-05,2,0,200000000023916
191653362232.372,16375.4441781524,16375.4441781524,16375.4441781524,8.42434318477167e-06,2.29920754619504e-09,8.96690943016067e-09,2e-05,2,0,200000000024132
191653362232.372,16375.4441781436,16375.4441781436,16375.4441781436,8.42434318476257e-06,2.29920754619132e-09,8.96690943014614e-09,2e-05,2,0,200000000023808
191653362232.372,16375.4441781351,16375.4441781351,16375.4441781351,8.42434318475381e-06,2.29920754618773e-09,8.96690943013215e-09,2e-05,2,0,200000000023496
191653362232.372,16375.4441781492,16375.4441781492,16375.4441781492,8.4243431847683e-06,2.29920754619366e-09,8.96690943015529e-09,2e-05,2,0,200000000024012
191653362232.372,16375.4441781495,16375.4441781495,16375.4441781495,8.42434318476864e-06,2.2992075461938e-09,8.96690943015582e-09,2e-05,2,0,200000000024024
191653362232.372,16375.4441781518,16375.4441781518,16375.4441781518,8.424343184771e-06,2.29920754619477e-09,8.96690943015959e-09,2e-05,2,0,200000000024108
191653362232.372,16375.4441781566,16375.4441781566,16375.4441781566,8.42434318477594e-06,2.29920754619679e-09,8.96690943016748e-09,2e-05,2,0,200000000024284
191653362232.372,16375.4441781468,16375.4441781468,16375.4441781468,8.42434318476583e-06,2.29920754619265e-09,8.96690943015134e-09,2e-05,2,0,200000000023924
191653362232.372,16375.4441781549,16375.4441781549,16375.4441781549,8.42434318477425e-06,2.2992075461961e-09,8.96690943016479e-09,2e-05,2,0,200000000024224
191653362232.372,16375.4441781492,16375.4441781492,16375.4441781492,8.4243431847683e-06,2.29920754619366e-09,8.96690943015529e-09,2e-05,2,0,200000000024012
191653362232.372,16375.4441781492,16375.4441781492,16375.4441781492,8.4243431847683e-06,2.29920754619366e-09,8.96690943015529e-09,2e-05,2,0,200000000024012
191653362232.372,16375.4441781549,16375.4441781549,16375.4441781549,8.42434318477425e-06,2.2992075461961e-09,8.96690943016479e-09,2e-05,2,0,200000000024224
191653362232.372,16375.4441781439,16375.4441781439,16375.4441781439,8.42434318476291e-06,2.29920754619146e-09,8.96690943014668e-09,2e-05,2,0,200000000023820
191653362232.372,16375.4441781446,16375.4441781446,16375.4441781446,8.42434318476358e-06,2.29920754619173e-09,8.96690943014775e-09,2e-05,2,0,200000000023844
