Step,Time (s),Rxn 0 (mol/cm3s),Err,Rxn 1 (mol/cm3s),Err,Rxn 2 (mol/cm3s),Err,Rxn 3 (mol/cm3s),Err,Rxn 4 (mol/cm3s),Err,Rxn 5 (mol/cm3s),Err,Rxn 6 (mol/cm3s),Err,Rxn 7 (mol/cm3s),Err,Rxn 8 (mol/cm3s),Err,Rxn 9 (mol/cm3s),Err
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4.7e-05,53752.6705454588,0,510261.112597704,0,45741.8259868622,0,33093.418982029,0,560530.82158738,0,-0.490774942849498,0,-28339.4560279436,0,32819.7374501182,0,-138.326443540544,0,-336.274669200182,0
48,4.8e-05,39629.800765723,0,264760.951039135,0,28883.2960767746,0,19824.7730497122,0,292756.608915756,0,-0.457667051806766,0,-18776.3653788343,0,9381.57019737673,0,-59.7479601248051,0,-10995.3588610888,0
49,4.9e-05,38100.9264538288,0,207435.300198972,0,23286.8235569,0,21251.9643311501,0,230016.066413866,0,-0.531852273243203,0,-18665.3077011108,0,4956.75948112948,0,-46.0447802948911,0,-13379.6034749895,0
50,5e-05,25251.9937387109,0,119330.607608497,0,-12574.6351699829,0,5192.92342889309,0,131491.069881471,0,-0.386196806520275,0,-10011.8023555204,0,2224.53582270625,0,-21.5982345315279,0,-7899.19814747572,0
51,5.1e-05,25818.721329838,0,113031.446600676,0,10712.0717964172,0,10369.2306454182,0,123985.632603195,0,-0.441231654646344,0,-10410.932131052,0,1732.91345322315,0,-20.7633860729111,0,-8616.82918509841,0
52,5.19999999999999e-05,28021.6329045594,0,114815.982876837,0,32890.3254852295,0,29352.0776534081,0,125616.885686798,0,-0.539773278516805,0,-11735.6810261905,0,1458.59798681917,0,-21.2186369425908,0,-9379.8744161576,0
53,5.29999999999999e-05,18869.7770144641,0,71450.3688639402,0,-49525.2286128998,0,-9290.49851119518,0,79706.7965346348,0,-0.39548376923949,0,-7605.70075514913,0,804.955957121906,0,-12.885931795201,0,-6522.77691450715,0
54,5.39999999999999e-05,15074.4292939901,0,53312.8648784757,0,22583.1149215698,0,11809.8212858438,0,56780.5950054809,0,-0.305807994741826,0,-3961.12250552326,0,521.029421334109,0,-6.78149204692454,0,-3418.37444370985,0
55,5.49999999999999e-05,11901.9250002801,0,40303.7571063936,0,-4032.91035652161,0,2426.80864948034,0,43278.7552092986,0,-0.251084875507559,0,-3045.89903174341,0,369.651563645007,0,-4.984862661433,0,-2643.99622520804,0
56,5.59999999999999e-05,10042.070441097,0,32615.9674578011,0,5267.21398830414,0,3136.24596506357,0,34528.5596301981,0,-0.210535494535634,0,-2115.13187609613,0,278.795977786162,0,-3.52457890800724,0,-1923.27410638705,0
57,5.69999999999999e-05,8542.80076086521,0,26932.3997265399,0,4281.56509780884,0,3159.18710237741,0,28422.2475044634,0,-0.180810514566701,0,-1609.01764376462,0,219.158007132338,0,-2.60287910417901,0,-1425.37627958506,0
