Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
28,0.014,0,0,2.27523676257806e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98732754228279e-07,0,4.85281845814447e-12,0,2034.10218539476,0,2.36511052328274e-05,0,399998.978225874,0
29,0.0145,0,0,2.27392736317632e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98215198247957e-07,0,5.02265263355112e-12,0,2035.27333125322,0,2.36374938526637e-05,0,399998.945091813,0
30,0.015,0,0,2.27262259281235e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97699471150347e-07,0,5.19229890693183e-12,0,2036.44167967619,0,2.36239305915727e-05,0,399998.912153761,0
31,0.0155,0,0,2.27132525097066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97186679474608e-07,0,5.36138954428541e-12,0,2037.60470796611,0,2.36104445505707e-05,0,399998.879552382,0
32,0.016,0,0,2.27003088213425e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96675062124781e-07,0,5.53050186212386e-12,0,2038.76639608009,0,2.35969894139691e-05,0,399998.847063102,0
33,0.0165,0,0,2.26874063886479e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96165074669903e-07,0,5.69948375695586e-12,0,2039.92570112006,0,2.35835771628015e-05,0,399998.814743826,0
34,0.017,0,0,2.26745375071318e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9565641258228e-07,0,5.86843430911616e-12,0,2041.08330603245,0,2.35701997881483e-05,0,399998.782555947,0
35,0.0175,0,0,2.26617219059077e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95149855689458e-07,0,6.03709225307007e-12,0,2042.23742530272,0,2.35568777986894e-05,0,399998.750597835,0
36,0.018,0,0,2.26489749952986e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94646013116493e-07,0,6.20525082164546e-12,0,2043.38665492321,0,2.3543627213666e-05,0,399998.718945686,0
37,0.0185,0,0,2.26362667512472e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94143698120101e-07,0,6.37330254862994e-12,0,2044.53368724284,0,2.35304168226698e-05,0,399998.687449818,0
38,0.019,0,0,2.26236087737802e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93643369215842e-07,0,6.54109159704514e-12,0,2045.67746405715,0,2.35172586840877e-05,0,399998.656167669,0
39,0.0195,0,0,2.26109957149148e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93144815020782e-07,0,6.7086860062457e-12,0,2046.81845625498,0,2.35041472386216e-05,0,399998.625072414,0
40,0.02,0,0,2.25984135251868e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92647480208047e-07,0,6.8762704657995e-12,0,2047.95792524759,0,2.34910678816653e-05,0,399998.594094689,0
41,0.0205,0,0,2.2585874756743e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92151860928398e-07,0,7.04367601504522e-12,0,2049.094725329,0,2.34780336613475e-05,0,399998.563296042,0
42,0.021,0,0,2.25733942738457e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91658544726773e-07,0,7.21070111604245e-12,0,2050.2274958012,0,2.34650600292736e-05,0,399998.532749326,0
43,0.0215,0,0,2.25609569699103e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91166934491358e-07,0,7.37754467545799e-12,0,2051.357594399,0,2.34521312819464e-05,0,399998.502380055,0
44,0.022,0,0,2.25485672215652e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90677203222603e-07,0,7.54414533261204e-12,0,2052.48461192973,0,2.34392519689331e-05,0,399998.472209463,0
45,0.0225,0,0,2.25362315379616e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90189608214772e-07,0,7.71041239012761e-12,0,2053.60794318487,0,2.34264288565887e-05,0,399998.442268775,0
46,0.023,0,0,2.25239301563916e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89703368308648e-07,0,7.87660951620162e-12,0,2054.7293763839,0,2.34136414013098e-05,0,399998.412461756,0
47,0.0235,0,0,2.25116674667613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89218657028751e-07,0,8.04267556170931e-12,0,2055.84850249018,0,2.34008941664656e-05,0,399998.382809605,0
48,0.024,0,0,2.24994574006128e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88736025056826e-07,0,8.20841918712776e-12,0,2056.96403862507,0,2.33882016340888e-05,0,399998.353379478,0
49,0.0245,0,0,2.24872970756507e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88255358469708e-07,0,8.37387620305079e-12,0,2058.07623483052,0,2.33755608079966e-05,0,399998.324156942,0
50,0.025,0,0,2.24751658589137e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87775841703605e-07,0,8.5393250437337e-12,0,2059.18696821502,0,2.33629502399424e-05,0,399998.295042752,0
51,0.0255,0,0,2.24630758970808e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87297954889797e-07,0,8.70459833282331e-12,0,2060.29511829147,0,2.33503825565689e-05,0,399998.266095018,0
52,0.026,0,0,2.24510354687415e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8682202526612e-07,0,8.86958016816564e-12,0,2061.39991485045,0,2.33378663635878e-05,0,399998.237353169,0
53,0.0265,0,0,2.24390303411544e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86347490251026e-07,0,9.03446298094155e-12,0,2062.50265305509,0,2.33253868658684e-05,0,399998.208748882,0
