Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195312506281.67,16375.44417757,16375.44417757,16375.44417757,8.42434318417245e-06,2.29920754594973e-09,8.96690942920394e-09,0.0007,2,0,200000000002793
195312506281.67,16375.4441775686,16375.4441775686,16375.4441775686,8.42434318417099e-06,2.29920754594913e-09,8.96690942920161e-09,0.0007,2,0,200000000002741
195312506281.67,16375.4441775696,16375.4441775696,16375.4441775696,8.42434318417197e-06,2.29920754594953e-09,8.96690942920318e-09,0.0007,2,0,200000000002776
195312506281.67,16375.4441775703,16375.4441775703,16375.4441775703,8.4243431841727e-06,2.29920754594983e-09,8.96690942920435e-09,0.0007,2,0,200000000002802
195312506281.67,16375.4441775702,16375.4441775702,16375.4441775702,8.42434318417259e-06,2.29920754594979e-09,8.96690942920417e-09,0.0007,2,0,200000000002798
195312506281.67,16375.4441775691,16375.4441775691,16375.4441775691,8.42434318417149e-06,2.29920754594934e-09,8.96690942920242e-09,0.0007,2,0,200000000002759
195312506281.67,16375.4441775697,16375.4441775697,16375.4441775697,8.42434318417208e-06,2.29920754594958e-09,8.96690942920336e-09,0.0007,2,0,200000000002780
195312506281.67,16375.44417757,16375.44417757,16375.44417757,8.42434318417245e-06,2.29920754594973e-09,8.96690942920394e-09,0.0007,2,0,200000000002793
195312506281.67,16375.4441775695,16375.4441775695,16375.4441775695,8.42434318417189e-06,2.2992075459495e-09,8.96690942920305e-09,0.0007,2,0,200000000002773
195312506281.67,16375.4441775696,16375.4441775696,16375.4441775696,8.42434318417197e-06,2.29920754594953e-09,8.96690942920318e-09,0.0007,2,0,200000000002776
195312506281.67,16375.4441775712,16375.4441775712,16375.4441775712,8.4243431841736e-06,2.2992075459502e-09,8.96690942920578e-09,0.0007,2,0,200000000002834
195312506281.67,16375.4441775711,16375.4441775711,16375.4441775711,8.42434318417352e-06,2.29920754595017e-09,8.96690942920565e-09,0.0007,2,0,200000000002831
195312506281.67,16375.4441775707,16375.4441775707,16375.4441775707,8.42434318417318e-06,2.29920754595003e-09,8.96690942920511e-09,0.0007,2,0,200000000002819
195312506281.67,16375.4441775697,16375.4441775697,16375.4441775697,8.42434318417208e-06,2.29920754594958e-09,8.96690942920336e-09,0.0007,2,0,200000000002780
195312506281.67,16375.4441775718,16375.4441775718,16375.4441775718,8.42434318417427e-06,2.29920754595048e-09,8.96690942920686e-09,0.0007,2,0,200000000002858
195312506281.67,16375.4441775713,16375.4441775713,16375.4441775713,8.42434318417379e-06,2.29920754595028e-09,8.96690942920609e-09,0.0007,2,0,200000000002841
195312506281.67,16375.4441775689,16375.4441775689,16375.4441775689,8.42434318417129e-06,2.29920754594926e-09,8.9669094292021e-09,0.0007,2,0,200000000002752
195312506281.67,16375.4441775709,16375.4441775709,16375.4441775709,8.42434318417332e-06,2.29920754595009e-09,8.96690942920533e-09,0.0007,2,0,200000000002824
195312506281.67,16375.4441775697,16375.4441775697,16375.4441775697,8.42434318417206e-06,2.29920754594957e-09,8.96690942920332e-09,0.0007,2,0,200000000002779
195312506281.67,16375.4441775715,16375.4441775715,16375.4441775715,8.42434318417399e-06,2.29920754595036e-09,8.96690942920641e-09,0.0007,2,0,200000000002848
195312506281.67,16375.4441775697,16375.4441775697,16375.4441775697,8.42434318417208e-06,2.29920754594958e-09,8.96690942920336e-09,0.0007,2,0,200000000002780
195312506281.67,16375.4441775697,16375.4441775697,16375.4441775697,8.42434318417206e-06,2.29920754594957e-09,8.96690942920332e-09,0.0007,2,0,200000000002779
195312506281.67,16375.4441775689,16375.4441775689,16375.4441775689,8.42434318417127e-06,2.29920754594925e-09,8.96690942920206e-09,0.0007,2,0,200000000002751
195312506281.67,16375.4441775686,16375.4441775686,16375.4441775686,8.42434318417099e-06,2.29920754594913e-09,8.96690942920161e-09,0.0007,2,0,200000000002741
195312506281.67,16375.4441775706,16375.4441775706,16375.4441775706,8.42434318417304e-06,2.29920754594997e-09,8.96690942920488e-09,0.0007,2,0,200000000002814
195312506281.67,16375.4441775703,16375.4441775703,16375.4441775703,8.42434318417267e-06,2.29920754594982e-09,8.9669094292043e-09,0.0007,2,0,200000000002801
195312506281.67,16375.4441775715,16375.4441775715,16375.4441775715,8.42434318417394e-06,2.29920754595034e-09,8.96690942920632e-09,0.0007,2,0,200000000002846
195312506281.67,16375.4441775715,16375.4441775715,16375.4441775715,8.42434318417399e-06,2.29920754595036e-09,8.96690942920641e-09,0.0007,2,0,200000000002848
195312506281.67,16375.4441775703,16375.4441775703,16375.4441775703,8.42434318417273e-06,2.29920754594984e-09,8.96690942920439e-09,0.0007,2,0,200000000002803
195312506281.67,16375.444177572,16375.444177572,16375.444177572,8.4243431841745e-06,2.29920754595057e-09,8.96690942920722e-09,0.0007,2,0,200000000002866
195312506281.67,16375.4441775695,16375.4441775695,16375.4441775695,8.42434318417186e-06,2.29920754594949e-09,8.966909429203e-09,0.0007,2,0,200000000002772
195312506281.67,16375.4441775694,16375.4441775694,16375.4441775694,8.42434318417178e-06,2.29920754594945e-09,8.96690942920287e-09,0.0007,2,0,200000000002769
195312506281.67,16375.4441775682,16375.4441775682,16375.4441775682,8.42434318417057e-06,2.29920754594896e-09,8.96690942920094e-09,0.0007,2,0,200000000002726
195312506281.67,16375.4441775701,16375.4441775701,16375.4441775701,8.42434318417253e-06,2.29920754594976e-09,8.96690942920408e-09,0.0007,2,0,200000000002796
195312506281.67,16375.4441775694,16375.4441775694,16375.4441775694,8.42434318417178e-06,2.29920754594945e-09,8.96690942920287e-09,0.0007,2,0,200000000002769
