Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195312507386.702,16375.4441772429,16375.4441772429,16375.4441772429,8.42434318383587e-06,2.29920754581194e-09,8.96690942866656e-09,0.0004,2,0,199999999990807
195312507386.702,16375.4441772429,16375.4441772429,16375.4441772429,8.42434318383584e-06,2.29920754581193e-09,8.96690942866651e-09,0.0004,2,0,199999999990806
195312507386.702,16375.4441772386,16375.4441772386,16375.4441772386,8.42434318383143e-06,2.29920754581012e-09,8.96690942865947e-09,0.0004,2,0,199999999990649
195312507386.702,16375.4441772397,16375.4441772397,16375.4441772397,8.42434318383252e-06,2.29920754581057e-09,8.96690942866122e-09,0.0004,2,0,199999999990688
195312507386.702,16375.4441772473,16375.4441772473,16375.4441772473,8.42434318384041e-06,2.2992075458138e-09,8.96690942867382e-09,0.0004,2,0,199999999990969
195312507386.702,16375.4441772437,16375.4441772437,16375.4441772437,8.42434318383668e-06,2.29920754581227e-09,8.96690942866786e-09,0.0004,2,0,199999999990836
195312507386.702,16375.4441772438,16375.4441772438,16375.4441772438,8.42434318383682e-06,2.29920754581233e-09,8.96690942866808e-09,0.0004,2,0,199999999990841
195312507386.702,16375.4441772444,16375.4441772444,16375.4441772444,8.42434318383736e-06,2.29920754581255e-09,8.96690942866893e-09,0.0004,2,0,199999999990860
195312507386.702,16375.4441772417,16375.4441772417,16375.4441772417,8.42434318383457e-06,2.29920754581141e-09,8.96690942866449e-09,0.0004,2,0,199999999990761
195312507386.702,16375.4441772466,16375.4441772466,16375.4441772466,8.42434318383969e-06,2.2992075458135e-09,8.96690942867265e-09,0.0004,2,0,199999999990943
195312507386.702,16375.4441772394,16375.4441772394,16375.4441772394,8.4243431838323e-06,2.29920754581048e-09,8.96690942866086e-09,0.0004,2,0,199999999990680
195312507386.702,16375.4441772418,16375.4441772418,16375.4441772418,8.42434318383469e-06,2.29920754581145e-09,8.96690942866467e-09,0.0004,2,0,199999999990765
195312507386.702,16375.4441772438,16375.4441772438,16375.4441772438,8.42434318383677e-06,2.29920754581231e-09,8.96690942866799e-09,0.0004,2,0,199999999990839
195312507386.702,16375.4441772442,16375.4441772442,16375.4441772442,8.42434318383721e-06,2.29920754581249e-09,8.96690942866871e-09,0.0004,2,0,199999999990855
195312507386.702,16375.4441772453,16375.4441772453,16375.4441772453,8.42434318383837e-06,2.29920754581296e-09,8.96690942867055e-09,0.0004,2,0,199999999990896
195312507386.702,16375.444177243,16375.444177243,16375.444177243,8.42434318383601e-06,2.29920754581199e-09,8.96690942866678e-09,0.0004,2,0,199999999990812
195312507386.702,16375.4441772425,16375.4441772425,16375.4441772425,8.42434318383547e-06,2.29920754581178e-09,8.96690942866593e-09,0.0004,2,0,199999999990793
195312507386.702,16375.4441772473,16375.4441772473,16375.4441772473,8.42434318384033e-06,2.29920754581377e-09,8.96690942867368e-09,0.0004,2,0,199999999990966
195312507386.702,16375.4441772469,16375.4441772469,16375.4441772469,8.42434318383997e-06,2.29920754581362e-09,8.9669094286731e-09,0.0004,2,0,199999999990953
195312507386.702,16375.4441772441,16375.4441772441,16375.4441772441,8.42434318383707e-06,2.29920754581243e-09,8.96690942866848e-09,0.0004,2,0,199999999990850
195312507386.702,16375.4441772445,16375.4441772445,16375.4441772445,8.42434318383749e-06,2.2992075458126e-09,8.96690942866916e-09,0.0004,2,0,199999999990865
195312507386.702,16375.4441772464,16375.4441772464,16375.4441772464,8.42434318383946e-06,2.29920754581341e-09,8.96690942867229e-09,0.0004,2,0,199999999990935
195312507386.702,16375.4441772435,16375.4441772435,16375.4441772435,8.42434318383651e-06,2.2992075458122e-09,8.96690942866759e-09,0.0004,2,0,199999999990830
195312507386.702,16375.4441772452,16375.4441772452,16375.4441772452,8.4243431838382e-06,2.29920754581289e-09,8.96690942867028e-09,0.0004,2,0,199999999990890
195312507386.702,16375.4441772441,16375.4441772441,16375.4441772441,8.42434318383705e-06,2.29920754581242e-09,8.96690942866844e-09,0.0004,2,0,199999999990849
195312507386.702,16375.4441772415,16375.4441772415,16375.4441772415,8.42434318383443e-06,2.29920754581135e-09,8.96690942866427e-09,0.0004,2,0,199999999990756
195312507386.702,16375.4441772416,16375.4441772416,16375.4441772416,8.42434318383449e-06,2.29920754581137e-09,8.96690942866436e-09,0.0004,2,0,199999999990758
195312507386.702,16375.4441772395,16375.4441772395,16375.4441772395,8.42434318383233e-06,2.29920754581049e-09,8.96690942866091e-09,0.0004,2,0,199999999990681
