Step,Time (s),AL (mol/cm3s),Err,O2 (mol/cm3s),Err,ALO (mol/cm3s),Err,O (mol/cm3s),Err,ALO2 (mol/cm3s),Err,AL2O2 (mol/cm3s),Err,AL2O3(S) (mol/cm3s),Err,AL2O (mol/cm3s),Err,AL(L) (mol/cm3s),Err,AL2O3(L) (mol/cm3s),Err
0,0,0,0,-8.37642688120014e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11685691749335e-10,0,5.58428458746676e-11,0
1,1e-06,0,0,-7.95476698892067e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06063559852276e-10,0,5.30317799261378e-11,0
2,2e-06,0,0,-7.95476698892067e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06063559852276e-10,0,5.30317799261378e-11,0
3,3e-06,0,0,-7.55297848528392e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00706379803786e-10,0,5.03531899018928e-11,0
4,4e-06,0,0,-7.17018815624612e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.56025087499483e-11,0,4.78012543749742e-11,0
5,5e-06,0,0,-6.80555829331252e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.07407772441669e-11,0,4.53703886220834e-11,0
6,6e-06,0,0,-6.80555829331252e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.07407772441669e-11,0,4.53703886220834e-11,0
7,7e-06,0,0,-6.45828536704889e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.61104715606518e-11,0,4.30552357803259e-11,0
8,8e-06,0,0,-5.22326171802489e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.96434895736652e-11,0,3.48217447868326e-11,0
9,9e-06,0,0,-4.95199918079117e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.60266557438823e-11,0,3.30133278719411e-11,0
10,1e-05,0,0,-4.6939166850818e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.25855558010907e-11,0,3.12927779005454e-11,0
11,1.1e-05,0,0,-4.4484165179644e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.93122202395253e-11,0,2.96561101197627e-11,0
12,1.2e-05,0,0,-3.99223377996312e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.32297837328416e-11,0,2.66148918664208e-11,0
13,1.3e-05,0,0,-3.57991217760146e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.77321623680194e-11,0,2.38660811840097e-11,0
14,1.4e-05,0,0,-3.20750408210594e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.27667210947458e-11,0,2.13833605473729e-11,0
15,1.5e-05,0,0,-3.03540487393159e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.04720649857545e-11,0,2.02360324928773e-11,0
16,1.6e-05,0,0,-2.71615750832588e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.62154334443451e-11,0,1.81077167221726e-11,0
17,1.7e-05,0,0,-2.42834527394556e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23779369859407e-11,0,1.61889684929704e-11,0
18,1.8e-05,0,0,-2.42834527394556e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23779369859407e-11,0,1.61889684929704e-11,0
19,1.9e-05,0,0,-2.16906873631416e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89209164841888e-11,0,1.44604582420944e-11,0
20,2e-05,0,0,-1.72426404027969e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29901872037293e-11,0,1.14950936018646e-11,0
21,2.1e-05,0,0,-1.72426404027969e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29901872037293e-11,0,1.14950936018646e-11,0
22,2.2e-05,0,0,-1.62765254654804e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17020339539739e-11,0,1.08510169769869e-11,0
23,2.3e-05,0,0,-1.44894722499421e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.93192963332561e-11,0,9.65964816662804e-12,0
24,2.4e-05,0,0,-1.36673053587116e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82230738116155e-11,0,9.11153690580775e-12,0
25,2.5e-05,0,0,-1.14945741152818e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53260988203758e-11,0,7.6630494101879e-12,0
26,2.6e-05,0,0,-9.64207746964013e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28561032928535e-11,0,6.42805164642675e-12,0
27,2.7e-05,0,0,-8.56524581939399e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1420327759192e-11,0,5.71016387959599e-12,0
28,2.8e-05,0,0,-8.07008495262038e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.07601132701605e-11,0,5.38005663508025e-12,0
29,2.9e-05,0,0,-7.60111912348737e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01348254979832e-11,0,5.06741274899158e-12,0
30,3e-05,0,0,-6.73481825890632e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.97975767854176e-12,0,4.48987883927088e-12,0
31,3.1e-05,0,0,-5.95901341757901e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.94535122343868e-12,0,3.97267561171934e-12,0
32,3.2e-05,0,0,-4.94386078225485e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5918143763398e-12,0,3.2959071881699e-12,0
33,3.3e-05,0,0,-4.08716539492211e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.44955385989615e-12,0,2.72477692994807e-12,0
34,3.4e-05,0,0,-3.59377599800484e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.79170133067312e-12,0,2.39585066533656e-12,0
35,3.5e-05,0,0,-2.95168208581082e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93557611441443e-12,0,1.96778805720722e-12,0
36,3.6e-05,0,0,-2.76253298870083e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.68337731826777e-12,0,1.84168865913389e-12,0
37,3.7e-05,0,0,-2.58422917897237e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4456389052965e-12,0,1.72281945264825e-12,0
38,3.8e-05,0,0,-2.4162048551212e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.22160647349494e-12,0,1.61080323674747e-12,0
39,3.9e-05,0,0,-2.10811650775005e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8108220103334e-12,0,1.4054110051667e-12,0
40,4e-05,0,0,-1.96784683378746e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62379577838328e-12,0,1.31189788919164e-12,0
41,4.1e-05,0,0,-1.83585294758548e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44780393011397e-12,0,1.22390196505699e-12,0
42,4.2e-05,1.26217744835362e-29,0,-8.74363162915298e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16581755055373e-12,0,5.82908775276865e-13,0
43,4.3e-05,0,0,-5.93443265070798e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.91257686761064e-13,0,3.95628843380532e-13,0
44,4.4e-05,-1.26217744835362e-29,0,-5.41416722858677e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.21888963811569e-13,0,3.60944481905784e-13,0
45,4.5e-05,6.31088724176809e-30,0,-2.50078419955632e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.33437893274176e-13,0,1.66718946637088e-13,0
46,4.6e-05,0,0,-1.42988607898824e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.90651477198433e-13,0,9.53257385992164e-14,0
47,4.7e-05,1.23259516440783e-32,0,-3.05658882228643e-14,0,3.94430452610506e-31,0,-3.94430452610506e-31,0,3.85185988877447e-34,0,6.01853107621011e-36,0,0,0,3.08148791101958e-33,0,-4.07545176304857e-14,0,2.03772588152428e-14,0
48,4.8e-05,0,0,-1.48164681733121e-14,0,-9.86076131526265e-32,0,0,0,0,0,0,0,0,0,-7.70371977754894e-34,0,-1.97552908977494e-14,0,9.87764544887471e-15,0
49,4.9e-05,0,0,-7.07864736496871e-15,0,-4.93038065763132e-32,0,-9.86076131526265e-32,0,0,0,0,0,0,0,0,0,-9.43819648662495e-15,0,4.71909824331247e-15,0
50,5e-05,6.16297582203915e-33,0,-5.54210503402868e-15,0,4.93038065763132e-32,0,1.97215226305253e-31,0,2.40741243048404e-35,0,0,0,0,0,9.62964972193618e-35,0,-7.38947337870491e-15,0,3.69473668935246e-15,0
51,5.1e-05,0,0,-2.85235816467377e-15,0,2.46519032881566e-32,0,0,0,1.20370621524202e-35,0,0,0,0,0,4.81482486096809e-35,0,-3.80314421956503e-15,0,1.90157210978252e-15,0
52,5.19999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,5.29999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5.39999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5.49999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5.59999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5.69999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5.79999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5.89999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5.99999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6.09999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,6.19999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6.29999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,6.39999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6.49999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,6.59999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6.69999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6.79999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6.89999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,6.99999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,7.09999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7.19999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7.29999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,7.39999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7.49999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7.59999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,7.69999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,7.79999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,7.89999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,7.99999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,8.09999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8.19999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,8.29999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,8.39999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,8.49999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,8.59999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,8.69999999999999e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,8.79999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,8.89999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,8.99999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,9.09999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,9.19999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,9.29999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,9.39999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,9.49999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,9.59999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,9.69999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,9.79999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,9.89999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,9.99999999999998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
