Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
63,0.0063,5.28788595750179e-12,0,1.67514563201097e-05,0,1.55323354911151e-09,0,4.62274509387529e-07,0,8.5465703449888e-11,0,1.98013138869032e-13,0,0,0,2.99507365605003e-13,0,0,0,1.924076209403e-06,0,2738.04820214893,0,1.91394515235593e-05,0,435717.750333196,0
64,0.0064,5.35700986243719e-12,0,1.67370308986685e-05,0,1.56350437351001e-09,0,4.63922631511883e-07,0,8.54508099192667e-11,0,1.97209056477132e-13,0,0,0,3.01697869484027e-13,0,0,0,1.92738897277361e-06,0,2738.92825733671,0,1.91299973140542e-05,0,435642.499140443,0
65,0.0065,5.42539817641177e-12,0,1.67226184972937e-05,0,1.57337967080085e-09,0,4.65573104014831e-07,0,8.54111939047512e-11,0,1.96292092806447e-13,0,0,0,3.03722041770212e-13,0,0,0,1.93069714211693e-06,0,2739.80683523586,0,1.91205534597025e-05,0,435567.11062676,0
66,0.0066,5.47652237065884e-12,0,1.670820418172e-05,0,1.57809044069851e-09,0,4.67227861035384e-07,0,8.50891900140929e-11,0,1.94093587160468e-13,0,0,0,3.0375116547777e-13,0,0,0,1.93400626179196e-06,0,2740.68533454143,0,1.91111074585451e-05,0,435491.522731598,0
67,0.0067,5.56824439724012e-12,0,1.66937416117468e-05,0,1.59430382344515e-09,0,4.68886910690416e-07,0,8.53816410476584e-11,0,1.94703685669201e-13,0,0,0,3.08207840090427e-13,0,0,0,1.93732000803877e-06,0,2741.56524888172,0,1.91016342870964e-05,0,435415.402242761,0
68,0.0068,5.62848344380693e-12,0,1.66793502962079e-05,0,1.60135707681863e-09,0,4.70527387696235e-07,0,8.51799517417303e-11,0,1.93073890234814e-13,0,0,0,3.09121646285209e-13,0,0,0,1.94062165808939e-06,0,2742.44201420536,0,1.9092192009701e-05,0,435339.347708123,0
69,0.00690000000000001,5.71783294877961e-12,0,1.6664873625072e-05,0,1.61633132244948e-09,0,4.72218222570312e-07,0,8.539721061943e-11,0,1.93331261879134e-13,0,0,0,3.13062800974418e-13,0,0,0,1.94393288689867e-06,0,2743.31988852827,0,1.90827326873011e-05,0,435262.942681345,0
70,0.00700000000000001,5.8073810708416e-12,0,1.66503930435994e-05,0,1.63117088719459e-09,0,4.73891917537562e-07,0,8.55975910113646e-11,0,1.93516979267324e-13,0,0,0,3.16959418755481e-13,0,0,0,1.94724597520407e-06,0,2744.19879596873,0,1.90732540226767e-05,0,435186.122079232,0
71,0.00710000000000001,5.87067098738019e-12,0,1.66359614325268e-05,0,1.63845151662652e-09,0,4.755673519971e-07,0,8.53990723776662e-11,0,1.91904899665252e-13,0,0,0,3.17914399172531e-13,0,0,0,1.95054921576648e-06,0,2745.07448936688,0,1.90638082313696e-05,0,435109.403796561,0
72,0.00720000000000001,5.93862238664118e-12,0,1.66215095400607e-05,0,1.64686233538601e-09,0,4.77247404981203e-07,0,8.52567743657781e-11,0,1.90546388404609e-13,0,0,0,3.19283104825998e-13,0,0,0,1.95385495275381e-06,0,2745.95071886228,0,1.90543504653574e-05,0,435032.359501837,0
