Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195312501584.766,16375.444177524,16375.444177524,16375.444177524,8.42434318412513e-06,2.29920754593036e-09,8.9669094291284e-09,0.00014,2,0,200000000001108
195312501584.766,16375.4441775234,16375.4441775234,16375.4441775234,8.42434318412446e-06,2.29920754593008e-09,8.96690942912732e-09,0.00014,2,0,200000000001084
195312501584.766,16375.4441775239,16375.4441775239,16375.4441775239,8.42434318412493e-06,2.29920754593028e-09,8.96690942912808e-09,0.00014,2,0,200000000001101
195312501584.766,16375.4441775246,16375.4441775246,16375.4441775246,8.42434318412566e-06,2.29920754593058e-09,8.96690942912925e-09,0.00014,2,0,200000000001127
195312501584.766,16375.4441775243,16375.4441775243,16375.4441775243,8.42434318412544e-06,2.29920754593048e-09,8.96690942912889e-09,0.00014,2,0,200000000001119
195312501584.766,16375.4441775235,16375.4441775235,16375.4441775235,8.4243431841246e-06,2.29920754593014e-09,8.96690942912755e-09,0.00014,2,0,200000000001089
195312501584.766,16375.444177524,16375.444177524,16375.444177524,8.42434318412508e-06,2.29920754593034e-09,8.96690942912831e-09,0.00014,2,0,200000000001106
195312501584.766,16375.4441775243,16375.4441775243,16375.4441775243,8.42434318412538e-06,2.29920754593046e-09,8.9669094291288e-09,0.00014,2,0,200000000001117
195312501584.766,16375.444177524,16375.444177524,16375.444177524,8.42434318412504e-06,2.29920754593032e-09,8.96690942912826e-09,0.00014,2,0,200000000001105
195312501584.766,16375.4441775241,16375.4441775241,16375.4441775241,8.42434318412518e-06,2.29920754593038e-09,8.96690942912848e-09,0.00014,2,0,200000000001110
195312501584.766,16375.4441775252,16375.4441775252,16375.4441775252,8.42434318412628e-06,2.29920754593083e-09,8.96690942913023e-09,0.00014,2,0,200000000001149
195312501584.766,16375.4441775249,16375.4441775249,16375.4441775249,8.42434318412603e-06,2.29920754593073e-09,8.96690942912983e-09,0.00014,2,0,200000000001140
195312501584.766,16375.444177525,16375.444177525,16375.444177525,8.42434318412609e-06,2.29920754593075e-09,8.96690942912992e-09,0.00014,2,0,200000000001142
195312501584.766,16375.4441775242,16375.4441775242,16375.4441775242,8.42434318412527e-06,2.29920754593042e-09,8.96690942912862e-09,0.00014,2,0,200000000001113
195312501584.766,16375.4441775256,16375.4441775256,16375.4441775256,8.42434318412676e-06,2.29920754593103e-09,8.966909429131e-09,0.00014,2,0,200000000001166
195312501584.766,16375.4441775253,16375.4441775253,16375.4441775253,8.42434318412645e-06,2.2992075459309e-09,8.9669094291305e-09,0.00014,2,0,200000000001155
195312501584.766,16375.4441775238,16375.4441775238,16375.4441775238,8.42434318412482e-06,2.29920754593023e-09,8.9669094291279e-09,0.00014,2,0,200000000001097
195312501584.766,16375.444177525,16375.444177525,16375.444177525,8.42434318412611e-06,2.29920754593076e-09,8.96690942912997e-09,0.00014,2,0,200000000001143
195312501584.766,16375.4441775244,16375.4441775244,16375.4441775244,8.42434318412547e-06,2.2992075459305e-09,8.96690942912893e-09,0.00014,2,0,200000000001120
195312501584.766,16375.4441775259,16375.4441775259,16375.4441775259,8.42434318412698e-06,2.29920754593112e-09,8.96690942913136e-09,0.00014,2,0,200000000001174
195312501584.766,16375.4441775243,16375.4441775243,16375.4441775243,8.42434318412538e-06,2.29920754593046e-09,8.9669094291288e-09,0.00014,2,0,200000000001117
195312501584.766,16375.4441775262,16375.4441775262,16375.4441775262,8.42434318412735e-06,2.29920754593127e-09,8.96690942913194e-09,0.00014,2,0,200000000001187
195312501584.766,16375.4441775245,16375.4441775245,16375.4441775245,8.42434318412558e-06,2.29920754593054e-09,8.96690942912911e-09,0.00014,2,0,200000000001124
195312501584.766,16375.4441775238,16375.4441775238,16375.4441775238,8.42434318412491e-06,2.29920754593027e-09,8.96690942912804e-09,0.00014,2,0,200000000001100
195312501584.766,16375.4441775237,16375.4441775237,16375.4441775237,8.42434318412477e-06,2.29920754593021e-09,8.96690942912781e-09,0.00014,2,0,200000000001095
195312501584.766,16375.4441775248,16375.4441775248,16375.4441775248,8.42434318412589e-06,2.29920754593067e-09,8.96690942912961e-09,0.00014,2,0,200000000001135
195312501584.766,16375.4441775246,16375.4441775246,16375.4441775246,8.42434318412574e-06,2.29920754593061e-09,8.96690942912938e-09,0.00014,2,0,200000000001130
195312501584.766,16375.4441775257,16375.4441775257,16375.4441775257,8.42434318412679e-06,2.29920754593104e-09,8.96690942913104e-09,0.00014,2,0,200000000001167
195312501584.766,16375.4441775257,16375.4441775257,16375.4441775257,8.42434318412679e-06,2.29920754593104e-09,8.96690942913104e-09,0.00014,2,0,200000000001167
195312501584.766,16375.4441775249,16375.4441775249,16375.4441775249,8.424343184126e-06,2.29920754593071e-09,8.96690942912979e-09,0.00014,2,0,200000000001139
195312501584.766,16375.4441775224,16375.4441775224,16375.4441775224,8.42434318412345e-06,2.29920754592967e-09,8.96690942912571e-09,0.00014,2,0,200000000001048
195312501584.766,16375.4441775242,16375.4441775242,16375.4441775242,8.42434318412527e-06,2.29920754593042e-09,8.96690942912862e-09,0.00014,2,0,200000000001113
195312501584.766,16375.4441775236,16375.4441775236,16375.4441775236,8.42434318412471e-06,2.29920754593019e-09,8.96690942912772e-09,0.00014,2,0,200000000001093
195312501584.766,16375.4441775249,16375.4441775249,16375.4441775249,8.42434318412597e-06,2.2992075459307e-09,8.96690942912974e-09,0.00014,2,0,200000000001138
195312501584.766,16375.4441775243,16375.4441775243,16375.4441775243,8.42434318412535e-06,2.29920754593045e-09,8.96690942912875e-09,0.00014,2,0,200000000001116
195312501584.766,16375.4441775242,16375.4441775242,16375.4441775242,8.4243431841253e-06,2.29920754593043e-09,8.96690942912867e-09,0.00014,2,0,200000000001114
195312501584.766,16375.4441775239,16375.4441775239,16375.4441775239,8.42434318412496e-06,2.29920754593029e-09,8.96690942912813e-09,0.00014,2,0,200000000001102
195312501584.766,16375.4441775245,16375.4441775245,16375.4441775245,8.42434318412564e-06,2.29920754593057e-09,8.9669094291292e-09,0.00014,2,0,200000000001126
195312501584.766,16375.444177524,16375.444177524,16375.444177524,8.42434318412513e-06,2.29920754593036e-09,8.9669094291284e-09,0.00014,2,0,200000000001108
195312501584.766,16375.4441775249,16375.4441775249,16375.4441775249,8.424343184126e-06,2.29920754593071e-09,8.96690942912979e-09,0.00014,2,0,200000000001139
195312501584.766,16375.4441775238,16375.4441775238,16375.4441775238,8.42434318412485e-06,2.29920754593024e-09,8.96690942912795e-09,0.00014,2,0,200000000001098
195312501584.766,16375.4441775241,16375.4441775241,16375.4441775241,8.42434318412516e-06,2.29920754593037e-09,8.96690942912844e-09,0.00014,2,0,200000000001109
195312501584.766,16375.4441775261,16375.4441775261,16375.4441775261,8.42434318412726e-06,2.29920754593123e-09,8.9669094291318e-09,0.00014,2,0,200000000001184
195312501584.766,16375.4441775233,16375.4441775233,16375.4441775233,8.42434318412437e-06,2.29920754593005e-09,8.96690942912718e-09,0.00014,2,0,200000000001081
195312501584.766,16375.4441775251,16375.4441775251,16375.4441775251,8.42434318412617e-06,2.29920754593078e-09,8.96690942913006e-09,0.00014,2,0,200000000001145
195312501584.766,16375.4441775253,16375.4441775253,16375.4441775253,8.42434318412639e-06,2.29920754593088e-09,8.96690942913041e-09,0.00014,2,0,200000000001153
195312501584.766,16375.4441775242,16375.4441775242,16375.4441775242,8.42434318412524e-06,2.2992075459304e-09,8.96690942912858e-09,0.00014,2,0,200000000001112
195312501584.766,16375.4441775239,16375.4441775239,16375.4441775239,8.42434318412493e-06,2.29920754593028e-09,8.96690942912808e-09,0.00014,2,0,200000000001101
195312501584.766,16375.4441775246,16375.4441775246,16375.4441775246,8.42434318412572e-06,2.2992075459306e-09,8.96690942912934e-09,0.00014,2,0,200000000001129
195312501584.766,16375.4441775241,16375.4441775241,16375.4441775241,8.42434318412521e-06,2.29920754593039e-09,8.96690942912853e-09,0.00014,2,0,200000000001111
195312501584.766,16375.4441775244,16375.4441775244,16375.4441775244,8.42434318412547e-06,2.2992075459305e-09,8.96690942912893e-09,0.00014,2,0,200000000001120
195312501584.766,16375.4441775234,16375.4441775234,16375.4441775234,8.42434318412446e-06,2.29920754593008e-09,8.96690942912732e-09,0.00014,2,0,200000000001084
195312501584.766,16375.4441775253,16375.4441775253,16375.4441775253,8.42434318412637e-06,2.29920754593086e-09,8.96690942913037e-09,0.00014,2,0,200000000001152
195312501584.766,16375.4441775242,16375.4441775242,16375.4441775242,8.4243431841253e-06,2.29920754593043e-09,8.96690942912867e-09,0.00014,2,0,200000000001114
