Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
74,0.000370000000000001,3.23972528657171e-06,0,4.64501250225956e-07,0,8.07188382169212e-07,0,1.10417510420499e-06,0,8.8031741518887e-12,0,1.58599821262933e-15,0,0,0,1.84039735402924e-09,0,0,0,8.02800921430844e-06,0,3379.60881922549,0,1.36454484395945e-05,0,383432.50125015,0
75,0.000375000000000001,3.24071233968328e-06,0,4.6319616926892e-07,0,8.01407691187831e-07,0,1.1051982135241e-06,0,8.6527097188537e-12,0,1.53031088970533e-15,0,0,0,1.80555205602869e-09,0,0,0,8.03077562912315e-06,0,3380.19275149574,0,1.36431042490833e-05,0,383432.86876571,0
76,0.000380000000000001,3.24167429410754e-06,0,4.61913216868342e-07,0,7.95752922033401e-07,0,1.10620319459688e-06,0,8.50701544817041e-12,0,1.47737746079037e-15,0,0,0,1.77187660298981e-09,0,0,0,8.03349525799238e-06,0,3380.7673653772,0,1.36408192706944e-05,0,383433.821078058,0
77,0.000385000000000001,3.24258856668233e-06,0,4.60658865967308e-07,0,7.90268338670262e-07,0,1.10717328655127e-06,0,8.36718309501083e-12,0,1.42750721013904e-15,0,0,0,1.73962421781493e-09,0,0,0,8.03613386449165e-06,0,3381.32707774415,0,1.36385709151912e-05,0,383434.091380695,0
78,0.000390000000000001,3.24347600551292e-06,0,4.59427806919772e-07,0,7.8491265597157e-07,0,1.10812345796336e-06,0,8.23197608314215e-12,0,1.3801367935404e-15,0,0,0,1.70849683973684e-09,0,0,0,8.03871963945488e-06,0,3381.8766666808,0,1.36363762960185e-05,0,383434.703960345,0
79,0.000395000000000001,3.24433451068105e-06,0,4.58218442113402e-07,0,7.79681032714825e-07,0,1.10905253840207e-06,0,8.10118825819511e-12,0,1.33511238897745e-15,0,0,0,1.6784434914574e-09,0,0,0,8.04125204211679e-06,0,3382.41627211618,0,1.3634225112043e-05,0,383435.386271569,0
80,0.000400000000000001,3.24516290686294e-06,0,4.57031921464826e-07,0,7.74577691245763e-07,0,1.10995904077313e-06,0,7.97482443570053e-12,0,1.29235212252529e-15,0,0,0,1.64946057331184e-09,0,0,0,8.04372808596347e-06,0,3382.94522586933,0,1.36321170830002e-05,0,383436.05581736,0
81,0.000405000000000001,3.24596360666022e-06,0,4.55866202358942e-07,0,7.69592237197059e-07,0,1.1108450403979e-06,0,7.85255804680899e-12,0,1.25168179983122e-15,0,0,0,1.62146915293357e-09,0,0,0,8.04615269252525e-06,0,3383.46450242044,0,1.3630049102102e-05,0,383436.736762494,0
82,0.000410000000000001,3.24673590333376e-06,0,4.54722368167111e-07,0,7.64727990183712e-07,0,1.11170932497247e-06,0,7.7343627949499e-12,0,1.21301184467968e-15,0,0,0,1.59445832612838e-09,0,0,0,8.04852339575237e-06,0,3383.97352858031,0,1.36280211763114e-05,0,383437.365372825,0
83,0.000415000000000001,3.24747287925454e-06,0,4.53600698720857e-07,0,7.59992050527802e-07,0,1.11254684039653e-06,0,7.62035938420114e-12,0,1.17632446484202e-15,0,0,0,1.56845442028948e-09,0,0,0,8.05083299175691e-06,0,3384.47104014762,0,1.36260215366126e-05,0,383437.468268771,0
84,0.000420000000000001,3.24818442036041e-06,0,4.52498291041632e-07,0,7.55363305644364e-07,0,1.11336492756838e-06,0,7.50993257381365e-12,0,1.14135434188122e-15,0,0,0,1.54331021706432e-09,0,0,0,8.05309483831713e-06,0,3384.95948396688,0,1.36240566042229e-05,0,383437.504266051,0
85,0.000425000000000001,3.24887805440899e-06,0,4.5141314616421e-07,0,7.50826370834201e-07,0,1.11416915058653e-06,0,7.40262282605304e-12,0,1.1078949270344e-15,0,0,0,1.51891515749624e-09,0,0,0,8.05531860874275e-06,0,3385.44062241496,0,1.36221316496249e-05,0,383437.822194488,0
86,0.000430000000000001,3.24956252128611e-06,0,4.50342707027481e-07,0,7.46363009082185e-07,0,1.11496624842701e-06,0,7.2979293739572e-12,0,1.07574495110452e-15,0,0,0,1.49515029884436e-09,0,0,0,8.0575157892332e-06,0,3385.91664054207,0,1.36202527243599e-05,0,383438.840694643,0
87,0.000435000000000001,3.25021158417217e-06,0,4.49294830308607e-07,0,7.42026330408073e-07,0,1.11573529615257e-06,0,7.19710748021493e-12,0,1.04526312971866e-15,0,0,0,1.47230598649103e-09,0,0,0,8.05965086295551e-06,0,3386.38066760611,0,1.36183984081362e-05,0,383439.179470062,0
88,0.000440000000000001,3.25083280387975e-06,0,4.48264984982726e-07,0,7.3779200414732e-07,0,1.11648268384933e-06,0,7.09950454436276e-12,0,1.01619716608243e-15,0,0,0,1.4502290460944e-09,0,0,0,8.06173716179857e-06,0,3386.83536604159,0,1.36165669682245e-05,0,383439.091993389,0
89,0.000445000000000001,3.25144400450725e-06,0,4.47248641182388e-07,0,7.33625898733693e-07,0,1.11722216851216e-06,0,7.00423662470467e-12,0,9.88235641871486e-16,0,0,0,1.42871139315594e-09,0,0,0,8.06379721661776e-06,0,3387.28505466027,0,1.36147736461713e-05,0,383439.497092771,0
90,0.000450000000000001,3.25204032242327e-06,0,4.46247759140007e-07,0,7.29539186608677e-07,0,1.11794958467124e-06,0,6.91152610761656e-12,0,9.61412891266598e-16,0,0,0,1.40780247561466e-09,0,0,0,8.06582357841866e-06,0,3387.7282211889,0,1.3613015146225e-05,0,383440.131421133,0
91,0.000455000000000001,3.25261606549341e-06,0,4.45263872333794e-07,0,7.25542296554409e-07,0,1.11866022748002e-06,0,6.82157916753062e-12,0,9.35760770390019e-16,0,0,0,1.38754853312686e-09,0,0,0,8.06780887833473e-06,0,3388.16338600911,0,1.36112857112444e-05,0,383440.666016814,0
92,0.000460000000000001,3.25316518826349e-06,0,4.44297106311968e-07,0,7.21641065892533e-07,0,1.11934954086962e-06,0,6.73449662811568e-12,0,9.11278269221927e-16,0,0,0,1.36797211779324e-09,0,0,0,8.06974760327434e-06,0,3388.58947319031,0,1.36095752121377e-05,0,383440.694411519,0
93,0.000465000000000001,3.25370977204767e-06,0,4.43341579809705e-07,0,7.17792644328448e-07,0,1.1200349976471e-06,0,6.64921610632136e-12,0,8.87620751437442e-16,0,0,0,1.34882511713393e-09,0,0,0,8.07166745707216e-06,0,3389.01199955139,0,1.36079019261259e-05,0,383441.356392468,0
94,0.000470000000000001,3.25423301949628e-06,0,4.42401589705286e-07,0,7.14028359515769e-07,0,1.12070312901894e-06,0,6.56645872606949e-12,0,8.64983197031947e-16,0,0,0,1.33027383361752e-09,0,0,0,8.07354756200271e-06,0,3389.42675101046,0,1.36062505008963e-05,0,383441.743117917,0
95,0.000475000000000001,3.25474338015599e-06,0,4.41475521076693e-07,0,7.10333517830538e-07,0,1.12136028113147e-06,0,6.48582108814719e-12,0,8.43215590277968e-16,0,0,0,1.31222255545849e-09,0,0,0,8.07539741607989e-06,0,3389.83558690035,0,1.36046288254943e-05,0,383442.287803498,0
96,0.000480000000000001,3.25525123378758e-06,0,4.40558428027147e-07,0,7.06680598093092e-07,0,1.12201553522226e-06,0,6.40665995407794e-12,0,8.22122432246552e-16,0,0,0,1.29452335270213e-09,0,0,0,8.07723296372725e-06,0,3390.24189326783,0,1.36030396896921e-05,0,383443.452599068,0
97,0.000485000000000001,3.25573372804991e-06,0,4.39658428096424e-07,0,7.03119641995989e-07,0,1.12264950588085e-06,0,6.33007736954282e-12,0,8.01986320980098e-16,0,0,0,1.27742766798697e-09,0,0,0,8.07902293247952e-06,0,3390.63904147778,0,1.360146799505e-05,0,383444.062662208,0
98,0.000490000000000001,3.25619235868633e-06,0,4.3877363533518e-07,0,6.99642269141771e-07,0,1.12326371711503e-06,0,6.25585694730943e-12,0,7.82727854280356e-16,0,0,0,1.26088531292695e-09,0,0,0,8.08077144003503e-06,0,3391.02789380426,0,1.35999105622659e-05,0,383444.126388146,0
99,0.000495000000000001,3.25663633743809e-06,0,4.37901535277949e-07,0,6.96230281213932e-07,0,1.12386552755124e-06,0,6.18354777829033e-12,0,7.64201840554522e-16,0,0,0,1.24479116242001e-09,0,0,0,8.08248985864451e-06,0,3391.41079622618,0,1.35983745156001e-05,0,383444.110369867,0
100,0.000500000000000001,3.25708497401135e-06,0,4.37036509842425e-07,0,6.92845168813987e-07,0,1.12447089418064e-06,0,6.11226210323006e-12,0,7.46154747108614e-16,0,0,0,1.2289405766972e-09,0,0,0,8.08420223279345e-06,0,3391.79287805961,0,1.35968748332268e-05,0,383445.017311421,0
